Network,Acc,Features,z_score
unassign,0.9166666666666666,14808,-0.21450859456093793
default,0.9708333333333333,10824,0.3878315389661856
visual,0.9645833333333332,8736,0.3183307543284396
fp,0.9729166666666668,4620,0.4109984671787684
dan,0.975,5264,0.43416539539134874
van,0.9562499999999999,3151,0.2256630414781133
salience,0.8916666666666666,484,-0.49251173311191815
co,0.9562499999999999,4060,0.2256630414781133
sm,0.9395833333333332,2375,0.04032761577745943
sm-lat,0.8479166666666668,316,-0.9790172255761312
auditory,0.8354166666666666,564,-1.1180187948516231
pmn,0.80625,45,-1.4423557898277652
pon,0.7229166666666668,21,-2.369032918331031
