sub,acc,task,iteration
MSC06,0.4764285714285714,mem,4
MSC07,0.4921428571428571,mem,4
MSC10,0.537142857142857,mem,4
MSC01,0.49785714285714283,motor,4
MSC02,0.4992857142857143,motor,4
MSC03,0.4878571428571429,motor,4
MSC04,0.4714285714285715,motor,4
MSC05,0.5328571428571428,motor,4
MSC06,0.5157142857142857,motor,4
MSC07,0.5057142857142857,motor,4
MSC10,0.5007142857142858,motor,4
MSC01,0.4978571428571428,mixed,5
MSC02,0.5121428571428572,mixed,5
MSC03,0.4757142857142857,mixed,5
MSC04,0.4985714285714286,mixed,5
MSC05,0.5028571428571429,mixed,5
MSC06,0.5149999999999999,mixed,5
MSC07,0.49857142857142855,mixed,5
MSC10,0.48857142857142855,mixed,5
MSC01,0.5121428571428571,mem,5
MSC02,0.5142857142857143,mem,5
MSC03,0.5021428571428571,mem,5
MSC04,0.5114285714285715,mem,5
MSC05,0.4914285714285715,mem,5
MSC06,0.49357142857142866,mem,5
MSC07,0.5192857142857142,mem,5
MSC10,0.5142857142857143,mem,5
MSC01,0.5035714285714286,motor,5
MSC02,0.5078571428571428,motor,5
MSC03,0.4678571428571429,motor,5
MSC04,0.4992857142857143,motor,5
MSC05,0.5107142857142857,motor,5
MSC06,0.48214285714285715,motor,5
MSC07,0.4871428571428571,motor,5
MSC10,0.48357142857142854,motor,5
MSC01,0.4800000000000001,mixed,6
MSC02,0.5028571428571428,mixed,6
MSC03,0.49500000000000005,mixed,6
MSC04,0.4878571428571429,mixed,6
MSC05,0.5092857142857142,mixed,6
MSC06,0.5121428571428571,mixed,6
MSC07,0.48857142857142855,mixed,6
MSC10,0.5085714285714286,mixed,6
MSC01,0.4778571428571428,mem,6
MSC02,0.5128571428571429,mem,6
MSC03,0.4728571428571429,mem,6
MSC04,0.5007142857142858,mem,6
MSC05,0.4935714285714285,mem,6
MSC06,0.47071428571428575,mem,6
MSC07,0.49357142857142866,mem,6
MSC10,0.5078571428571428,mem,6
MSC01,0.4842857142857144,motor,6
MSC02,0.51,motor,6
MSC03,0.5042857142857142,motor,6
MSC04,0.47500000000000003,motor,6
MSC05,0.5178571428571428,motor,6
MSC06,0.4878571428571429,motor,6
MSC07,0.4985714285714286,motor,6
MSC10,0.5185714285714286,motor,6
MSC01,0.4935714285714286,mixed,7
MSC02,0.5257142857142857,mixed,7
MSC03,0.5107142857142858,mixed,7
MSC04,0.5071428571428571,mixed,7
MSC05,0.4878571428571429,mixed,7
MSC06,0.47785714285714287,mixed,7
MSC07,0.5078571428571429,mixed,7
MSC10,0.5192857142857144,mixed,7
MSC01,0.5021428571428572,mem,7
MSC02,0.485,mem,7
MSC03,0.5114285714285715,mem,7
MSC04,0.5014285714285714,mem,7
MSC05,0.5185714285714285,mem,7
MSC06,0.5078571428571428,mem,7
MSC07,0.5364285714285714,mem,7
MSC10,0.4842857142857143,mem,7
MSC01,0.5507142857142857,motor,7
MSC02,0.46928571428571425,motor,7
MSC03,0.4971428571428572,motor,7
MSC04,0.525,motor,7
MSC05,0.49142857142857144,motor,7
MSC06,0.4964285714285714,motor,7
MSC07,0.5121428571428572,motor,7
MSC10,0.5535714285714286,motor,7
MSC01,0.5028571428571429,mixed,8
MSC02,0.5071428571428572,mixed,8
MSC03,0.4957142857142857,mixed,8
MSC04,0.4857142857142857,mixed,8
MSC05,0.5128571428571428,mixed,8
MSC06,0.5042857142857143,mixed,8
MSC07,0.495,mixed,8
MSC10,0.5014285714285716,mixed,8
MSC01,0.5007142857142858,mem,8
MSC02,0.5328571428571429,mem,8
MSC03,0.49714285714285716,mem,8
MSC04,0.5014285714285716,mem,8
MSC05,0.5014285714285714,mem,8
MSC06,0.5235714285714285,mem,8
MSC07,0.49571428571428566,mem,8
MSC10,0.4942857142857143,mem,8
MSC01,0.5107142857142858,motor,8
MSC02,0.49499999999999994,motor,8
MSC03,0.48714285714285716,motor,8
MSC04,0.5157142857142857,motor,8
MSC05,0.5314285714285715,motor,8
MSC06,0.48142857142857143,motor,8
MSC07,0.5064285714285715,motor,8
MSC10,0.5028571428571429,motor,8
MSC01,0.5078571428571429,mixed,9
MSC02,0.5121428571428571,mixed,9
MSC03,0.5107142857142856,mixed,9
MSC04,0.47500000000000003,mixed,9
MSC05,0.5057142857142857,mixed,9
MSC06,0.49714285714285705,mixed,9
MSC07,0.5242857142857142,mixed,9
MSC10,0.4985714285714286,mixed,9
MSC01,0.4942857142857143,mem,9
MSC02,0.5242857142857142,mem,9
MSC03,0.5028571428571428,mem,9
MSC04,0.5228571428571429,mem,9
MSC05,0.5142857142857143,mem,9
MSC06,0.51,mem,9
MSC07,0.5178571428571429,mem,9
MSC10,0.5135714285714286,mem,9
MSC01,0.4714285714285714,motor,9
MSC02,0.485,motor,9
MSC03,0.5328571428571429,motor,9
MSC04,0.48428571428571426,motor,9
MSC05,0.49285714285714294,motor,9
MSC06,0.5142857142857143,motor,9
MSC07,0.4692857142857143,motor,9
MSC10,0.5135714285714287,motor,9
MSC01,0.49999999999999994,mixed,10
MSC02,0.48785714285714293,mixed,10
MSC03,0.5078571428571429,mixed,10
MSC04,0.4878571428571429,mixed,10
MSC05,0.5192857142857142,mixed,10
MSC06,0.4835714285714286,mixed,10
MSC07,0.47857142857142865,mixed,10
MSC10,0.5007142857142857,mixed,10
MSC01,0.4635714285714286,mem,10
MSC02,0.5007142857142858,mem,10
MSC03,0.4957142857142857,mem,10
MSC04,0.4957142857142857,mem,10
MSC05,0.505,mem,10
MSC06,0.4964285714285714,mem,10
MSC07,0.4935714285714286,mem,10
MSC10,0.48928571428571427,mem,10
MSC01,0.5221428571428571,motor,10
MSC02,0.505,motor,10
MSC03,0.47571428571428565,motor,10
MSC04,0.482857142857143,motor,10
MSC05,0.5164285714285716,motor,10
MSC06,0.4735714285714285,motor,10
MSC07,0.5121428571428572,motor,10
MSC10,0.5128571428571429,motor,10
MSC01,0.4992857142857143,mixed,11
MSC02,0.49571428571428583,mixed,11
MSC03,0.4842857142857144,mixed,11
MSC04,0.4907142857142857,mixed,11
MSC05,0.4878571428571429,mixed,11
MSC06,0.47571428571428565,mixed,11
MSC07,0.4935714285714286,mixed,11
MSC10,0.49142857142857144,mixed,11
MSC01,0.5114285714285716,mem,11
MSC02,0.49571428571428583,mem,11
MSC03,0.4992857142857142,mem,11
MSC04,0.5378571428571429,mem,11
MSC05,0.5192857142857144,mem,11
MSC06,0.4892857142857143,mem,11
MSC07,0.5007142857142857,mem,11
MSC10,0.46571428571428575,mem,11
MSC01,0.5314285714285715,motor,11
MSC02,0.48571428571428565,motor,11
MSC03,0.5078571428571428,motor,11
MSC04,0.4985714285714285,motor,11
MSC05,0.5114285714285713,motor,11
MSC06,0.4935714285714286,motor,11
MSC07,0.4978571428571429,motor,11
MSC10,0.5092857142857143,motor,11
MSC01,0.4842857142857143,mixed,12
MSC02,0.495,mixed,12
MSC03,0.505,mixed,12
MSC04,0.49071428571428577,mixed,12
MSC05,0.4821428571428572,mixed,12
MSC06,0.4914285714285715,mixed,12
MSC07,0.5121428571428572,mixed,12
MSC10,0.4971428571428572,mixed,12
MSC01,0.49000000000000005,mem,12
MSC02,0.4935714285714286,mem,12
MSC03,0.51,mem,12
MSC04,0.4992857142857142,mem,12
MSC05,0.4971428571428572,mem,12
MSC06,0.4692857142857143,mem,12
MSC07,0.5107142857142858,mem,12
MSC10,0.4942857142857143,mem,12
MSC01,0.5014285714285714,motor,12
MSC02,0.49214285714285716,motor,12
MSC03,0.4878571428571429,motor,12
MSC04,0.49500000000000005,motor,12
MSC05,0.4992857142857143,motor,12
MSC06,0.4864285714285715,motor,12
MSC07,0.5,motor,12
MSC10,0.5364285714285715,motor,12
MSC01,0.4871428571428571,mixed,13
MSC02,0.4978571428571428,mixed,13
MSC03,0.5121428571428571,mixed,13
MSC04,0.47928571428571426,mixed,13
MSC05,0.4771428571428572,mixed,13
MSC06,0.5164285714285715,mixed,13
MSC07,0.48357142857142854,mixed,13
MSC10,0.48571428571428577,mixed,13
MSC01,0.5121428571428571,mem,13
MSC02,0.5000000000000001,mem,13
MSC03,0.4928571428571429,mem,13
MSC04,0.4907142857142857,mem,13
MSC05,0.48214285714285715,mem,13
MSC06,0.4878571428571429,mem,13
MSC07,0.5157142857142857,mem,13
MSC10,0.48000000000000004,mem,13
MSC01,0.49428571428571433,motor,13
MSC02,0.5028571428571429,motor,13
MSC03,0.48857142857142855,motor,13
MSC04,0.5192857142857142,motor,13
MSC05,0.4942857142857143,motor,13
MSC06,0.5035714285714287,motor,13
MSC07,0.4942857142857143,motor,13
MSC10,0.5007142857142858,motor,13
MSC01,0.4878571428571429,mixed,14
MSC02,0.5228571428571428,mixed,14
MSC03,0.5335714285714286,mixed,14
MSC04,0.48142857142857143,mixed,14
MSC05,0.49571428571428566,mixed,14
MSC06,0.5242857142857142,mixed,14
MSC07,0.49857142857142867,mixed,14
MSC10,0.5042857142857142,mixed,14
MSC01,0.4871428571428571,mem,14
MSC02,0.4807142857142857,mem,14
MSC03,0.47928571428571426,mem,14
MSC04,0.5078571428571429,mem,14
MSC05,0.505,mem,14
MSC06,0.48928571428571427,mem,14
MSC07,0.5007142857142857,mem,14
MSC10,0.48357142857142854,mem,14
MSC01,0.4892857142857143,motor,14
MSC02,0.4978571428571429,motor,14
MSC03,0.5364285714285714,motor,14
MSC04,0.5135714285714287,motor,14
MSC05,0.5057142857142857,motor,14
MSC06,0.5221428571428571,motor,14
MSC07,0.4771428571428572,motor,14
MSC10,0.5035714285714284,motor,14
MSC01,0.4971428571428572,mixed,15
MSC02,0.46571428571428564,mixed,15
MSC03,0.4957142857142857,mixed,15
MSC04,0.48714285714285716,mixed,15
MSC05,0.482857142857143,mixed,15
MSC06,0.4942857142857143,mixed,15
MSC07,0.49571428571428566,mixed,15
MSC10,0.5121428571428572,mixed,15
MSC01,0.4957142857142857,mem,15
MSC02,0.4928571428571429,mem,15
MSC03,0.5021428571428571,mem,15
MSC04,0.512857142857143,mem,15
MSC05,0.48357142857142865,mem,15
MSC06,0.48999999999999994,mem,15
MSC07,0.5164285714285715,mem,15
MSC10,0.5107142857142858,mem,15
MSC01,0.5407142857142857,motor,15
MSC02,0.49000000000000005,motor,15
MSC03,0.49642857142857144,motor,15
MSC04,0.4671428571428571,motor,15
MSC05,0.5035714285714286,motor,15
MSC06,0.5092857142857142,motor,15
MSC07,0.48785714285714293,motor,15
MSC10,0.5307142857142857,motor,15
MSC01,0.507142857142857,mixed,16
MSC02,0.4942857142857142,mixed,16
MSC03,0.5235714285714286,mixed,16
MSC04,0.5042857142857143,mixed,16
MSC05,0.5199999999999999,mixed,16
MSC06,0.53,mixed,16
MSC07,0.4885714285714286,mixed,16
MSC10,0.5107142857142858,mixed,16
MSC01,0.4928571428571429,mem,16
MSC02,0.4992857142857142,mem,16
MSC03,0.49642857142857144,mem,16
MSC04,0.5028571428571428,mem,16
MSC05,0.4914285714285715,mem,16
MSC06,0.5121428571428571,mem,16
MSC07,0.5007142857142858,mem,16
MSC10,0.48928571428571427,mem,16
MSC01,0.5592857142857143,motor,16
MSC02,0.4892857142857142,motor,16
MSC03,0.5007142857142858,motor,16
MSC04,0.5064285714285715,motor,16
MSC05,0.4842857142857144,motor,16
MSC06,0.4792857142857142,motor,16
MSC07,0.48857142857142855,motor,16
MSC10,0.5014285714285714,motor,16
MSC01,0.47785714285714287,mixed,17
MSC02,0.49642857142857144,mixed,17
MSC03,0.48928571428571427,mixed,17
MSC04,0.5085714285714286,mixed,17
MSC05,0.5014285714285714,mixed,17
MSC06,0.48000000000000004,mixed,17
MSC07,0.5064285714285715,mixed,17
MSC10,0.525,mixed,17
MSC01,0.5235714285714287,mem,17
MSC02,0.5,mem,17
MSC03,0.5114285714285715,mem,17
MSC04,0.5142857142857143,mem,17
MSC05,0.48357142857142854,mem,17
MSC06,0.4992857142857143,mem,17
MSC07,0.5035714285714286,mem,17
MSC10,0.5057142857142859,mem,17
MSC01,0.4914285714285715,motor,17
MSC02,0.4871428571428571,motor,17
MSC03,0.5421428571428573,motor,17
MSC04,0.4935714285714285,motor,17
MSC05,0.5242857142857142,motor,17
MSC06,0.5014285714285714,motor,17
MSC07,0.505,motor,17
MSC10,0.49571428571428566,motor,17
MSC01,0.5007142857142857,mixed,18
MSC02,0.5092857142857142,mixed,18
MSC03,0.4971428571428572,mixed,18
MSC04,0.5521428571428572,mixed,18
MSC05,0.5035714285714286,mixed,18
MSC06,0.5035714285714286,mixed,18
MSC07,0.49642857142857144,mixed,18
MSC10,0.4657142857142857,mixed,18
MSC01,0.49714285714285716,mem,18
MSC02,0.5228571428571429,mem,18
MSC03,0.4642857142857143,mem,18
MSC04,0.4821428571428572,mem,18
MSC05,0.4828571428571428,mem,18
MSC06,0.4842857142857143,mem,18
MSC07,0.5035714285714284,mem,18
MSC10,0.4685714285714286,mem,18
MSC01,0.5371428571428571,motor,18
MSC02,0.48500000000000004,motor,18
MSC03,0.5185714285714286,motor,18
MSC04,0.5285714285714286,motor,18
MSC05,0.49000000000000005,motor,18
MSC06,0.49214285714285716,motor,18
MSC07,0.49500000000000005,motor,18
MSC10,0.4735714285714286,motor,18
MSC01,0.5157142857142858,mixed,19
MSC02,0.5042857142857142,mixed,19
MSC03,0.4992857142857143,mixed,19
MSC04,0.48571428571428577,mixed,19
MSC05,0.5164285714285713,mixed,19
MSC06,0.4864285714285715,mixed,19
MSC07,0.5078571428571429,mixed,19
MSC10,0.47214285714285714,mixed,19
MSC01,0.51,mem,19
MSC02,0.5135714285714286,mem,19
MSC03,0.47285714285714286,mem,19
MSC04,0.48142857142857143,mem,19
MSC05,0.5157142857142858,mem,19
MSC06,0.5071428571428571,mem,19
MSC07,0.49071428571428577,mem,19
MSC10,0.48500000000000004,mem,19
MSC01,0.5107142857142858,motor,19
MSC02,0.5142857142857143,motor,19
MSC03,0.4971428571428572,motor,19
MSC04,0.48571428571428577,motor,19
MSC05,0.4885714285714286,motor,19
MSC06,0.4971428571428572,motor,19
MSC07,0.5092857142857142,motor,19
MSC10,0.48857142857142855,motor,19
MSC01,0.505,mixed,20
MSC02,0.5107142857142858,mixed,20
MSC03,0.49071428571428566,mixed,20
MSC04,0.5235714285714286,mixed,20
MSC05,0.5007142857142858,mixed,20
MSC06,0.4642857142857143,mixed,20
MSC07,0.48785714285714293,mixed,20
MSC10,0.5207142857142857,mixed,20
MSC01,0.4828571428571428,mem,20
MSC02,0.48928571428571427,mem,20
MSC03,0.4900000000000001,mem,20
MSC04,0.5178571428571429,mem,20
MSC05,0.5107142857142858,mem,20
MSC06,0.49500000000000005,mem,20
MSC07,0.5042857142857142,mem,20
MSC10,0.5092857142857143,mem,20
MSC01,0.5021428571428572,motor,20
MSC02,0.48,motor,20
MSC03,0.5292857142857142,motor,20
MSC04,0.5028571428571429,motor,20
MSC05,0.49071428571428577,motor,20
MSC06,0.5071428571428572,motor,20
MSC07,0.5071428571428571,motor,20
MSC10,0.4900000000000001,motor,20
MSC01,0.49214285714285716,mixed,21
MSC02,0.51,mixed,21
MSC03,0.47428571428571425,mixed,21
MSC04,0.49642857142857144,mixed,21
MSC05,0.4892857142857143,mixed,21
MSC06,0.4928571428571429,mixed,21
MSC07,0.5021428571428571,mixed,21
MSC10,0.4864285714285714,mixed,21
MSC01,0.5114285714285715,mem,21
MSC02,0.5135714285714286,mem,21
MSC03,0.5128571428571429,mem,21
MSC04,0.4935714285714285,mem,21
MSC05,0.49142857142857144,mem,21
MSC06,0.5214285714285715,mem,21
MSC07,0.5042857142857143,mem,21
MSC10,0.53,mem,21
MSC01,0.48428571428571426,motor,21
MSC02,0.5007142857142857,motor,21
MSC03,0.51,motor,21
MSC04,0.5178571428571429,motor,21
MSC05,0.5128571428571429,motor,21
MSC06,0.49785714285714283,motor,21
MSC07,0.5114285714285715,motor,21
MSC10,0.48999999999999994,motor,21
MSC01,0.4992857142857143,mixed,22
MSC02,0.5042857142857143,mixed,22
MSC03,0.49214285714285716,mixed,22
MSC04,0.4935714285714285,mixed,22
MSC05,0.4814285714285715,mixed,22
MSC06,0.47571428571428565,mixed,22
MSC07,0.4992857142857144,mixed,22
MSC10,0.4957142857142857,mixed,22
MSC01,0.5092857142857142,mem,22
MSC02,0.4928571428571428,mem,22
MSC03,0.48857142857142855,mem,22
MSC04,0.4828571428571428,mem,22
MSC05,0.48357142857142854,mem,22
MSC06,0.48999999999999994,mem,22
MSC07,0.49857142857142855,mem,22
MSC10,0.495,mem,22
MSC01,0.4828571428571428,motor,22
MSC02,0.5057142857142857,motor,22
MSC03,0.47071428571428575,motor,22
MSC04,0.5057142857142857,motor,22
MSC05,0.5057142857142858,motor,22
MSC06,0.5171428571428571,motor,22
MSC07,0.4964285714285715,motor,22
MSC10,0.4635714285714286,motor,22
MSC01,0.5007142857142857,mixed,23
MSC02,0.5021428571428572,mixed,23
MSC03,0.48,mixed,23
MSC04,0.49142857142857144,mixed,23
MSC05,0.48214285714285715,mixed,23
MSC06,0.5121428571428571,mixed,23
MSC07,0.4971428571428572,mixed,23
MSC10,0.4935714285714286,mixed,23
MSC01,0.5021428571428571,mem,23
MSC02,0.5014285714285714,mem,23
MSC03,0.495,mem,23
MSC04,0.5278571428571429,mem,23
MSC05,0.4842857142857143,mem,23
MSC06,0.47714285714285715,mem,23
MSC07,0.5078571428571428,mem,23
MSC10,0.48500000000000004,mem,23
MSC01,0.505,motor,23
MSC02,0.525,motor,23
MSC03,0.48999999999999994,motor,23
MSC04,0.505,motor,23
MSC05,0.49428571428571433,motor,23
MSC06,0.5164285714285715,motor,23
MSC07,0.5078571428571429,motor,23
MSC10,0.48857142857142855,motor,23
MSC01,0.5185714285714286,mixed,24
MSC02,0.5178571428571429,mixed,24
MSC03,0.5171428571428571,mixed,24
MSC04,0.5021428571428572,mixed,24
MSC05,0.5085714285714287,mixed,24
MSC06,0.4857142857142857,mixed,24
MSC07,0.5042857142857142,mixed,24
MSC10,0.4928571428571429,mixed,24
MSC01,0.5078571428571429,mem,24
MSC02,0.52,mem,24
MSC03,0.5192857142857142,mem,24
MSC04,0.4757142857142857,mem,24
MSC05,0.4978571428571429,mem,24
MSC06,0.5121428571428572,mem,24
MSC07,0.5071428571428572,mem,24
MSC10,0.5028571428571428,mem,24
MSC01,0.49500000000000005,motor,24
MSC02,0.49857142857142855,motor,24
MSC03,0.5057142857142858,motor,24
MSC04,0.515,motor,24
MSC05,0.5178571428571428,motor,24
MSC06,0.48214285714285715,motor,24
MSC07,0.4935714285714286,motor,24
MSC10,0.5207142857142858,motor,24
MSC01,0.5221428571428571,mixed,25
MSC02,0.512857142857143,mixed,25
MSC03,0.4907142857142857,mixed,25
MSC04,0.4842857142857144,mixed,25
MSC05,0.49642857142857144,mixed,25
MSC06,0.5121428571428571,mixed,25
MSC07,0.5057142857142857,mixed,25
MSC10,0.5021428571428572,mixed,25
MSC01,0.48571428571428577,mem,25
MSC02,0.5042857142857143,mem,25
MSC03,0.49000000000000005,mem,25
MSC04,0.49785714285714283,mem,25
MSC05,0.4757142857142857,mem,25
MSC06,0.48928571428571427,mem,25
MSC07,0.4807142857142857,mem,25
MSC10,0.48928571428571427,mem,25
MSC01,0.4742857142857143,motor,25
MSC02,0.4864285714285714,motor,25
MSC03,0.5357142857142857,motor,25
MSC04,0.4935714285714287,motor,25
MSC05,0.4985714285714286,motor,25
MSC06,0.5021428571428571,motor,25
MSC07,0.48285714285714293,motor,25
MSC10,0.5107142857142858,motor,25
MSC01,0.5,mixed,26
MSC02,0.5035714285714286,mixed,26
MSC03,0.49785714285714283,mixed,26
MSC04,0.4992857142857142,mixed,26
MSC05,0.5335714285714286,mixed,26
MSC06,0.47928571428571437,mixed,26
MSC07,0.5057142857142857,mixed,26
MSC10,0.5064285714285715,mixed,26
MSC01,0.4992857142857142,mem,26
MSC02,0.4864285714285714,mem,26
MSC03,0.48928571428571427,mem,26
MSC04,0.4728571428571428,mem,26
MSC05,0.4978571428571429,mem,26
MSC06,0.4907142857142857,mem,26
MSC07,0.5235714285714287,mem,26
MSC10,0.5028571428571428,mem,26
MSC01,0.5192857142857142,motor,26
MSC02,0.48928571428571427,motor,26
MSC03,0.4978571428571429,motor,26
MSC04,0.4721428571428571,motor,26
MSC05,0.4757142857142857,motor,26
MSC06,0.49285714285714294,motor,26
MSC07,0.4842857142857144,motor,26
MSC10,0.5114285714285715,motor,26
MSC01,0.5192857142857144,mixed,27
MSC02,0.5021428571428571,mixed,27
MSC03,0.48928571428571427,mixed,27
MSC04,0.49142857142857144,mixed,27
MSC05,0.4942857142857143,mixed,27
MSC06,0.48285714285714293,mixed,27
MSC07,0.49642857142857144,mixed,27
MSC10,0.49642857142857144,mixed,27
MSC01,0.5264285714285714,mem,27
MSC02,0.5135714285714286,mem,27
MSC03,0.4914285714285715,mem,27
MSC04,0.4985714285714286,mem,27
MSC05,0.48142857142857143,mem,27
MSC06,0.5042857142857142,mem,27
MSC07,0.49571428571428583,mem,27
MSC10,0.5014285714285714,mem,27
MSC01,0.527142857142857,motor,27
MSC02,0.5071428571428571,motor,27
MSC03,0.495,motor,27
MSC04,0.5121428571428571,motor,27
MSC05,0.505,motor,27
MSC06,0.48571428571428565,motor,27
MSC07,0.4892857142857143,motor,27
MSC10,0.4992857142857142,motor,27
MSC01,0.4992857142857143,mixed,28
MSC02,0.5057142857142857,mixed,28
MSC03,0.49642857142857144,mixed,28
MSC04,0.5092857142857142,mixed,28
MSC05,0.5057142857142857,mixed,28
MSC06,0.4878571428571428,mixed,28
MSC07,0.5042857142857142,mixed,28
MSC10,0.51,mixed,28
MSC01,0.4514285714285714,mem,28
MSC02,0.47857142857142854,mem,28
MSC03,0.5085714285714286,mem,28
MSC04,0.5035714285714287,mem,28
MSC05,0.49428571428571433,mem,28
MSC06,0.5035714285714287,mem,28
MSC07,0.48714285714285716,mem,28
MSC10,0.5042857142857142,mem,28
MSC01,0.48571428571428577,motor,28
MSC02,0.49642857142857144,motor,28
MSC03,0.48000000000000004,motor,28
MSC04,0.5199999999999999,motor,28
MSC05,0.5078571428571429,motor,28
MSC06,0.4935714285714286,motor,28
MSC07,0.49428571428571433,motor,28
MSC10,0.5021428571428571,motor,28
MSC01,0.5128571428571429,mixed,29
MSC02,0.5121428571428571,mixed,29
MSC03,0.5164285714285713,mixed,29
MSC04,0.47285714285714286,mixed,29
MSC05,0.4957142857142857,mixed,29
MSC06,0.5085714285714286,mixed,29
MSC07,0.5057142857142857,mixed,29
MSC10,0.4821428571428572,mixed,29
MSC01,0.5157142857142857,mem,29
MSC02,0.4757142857142858,mem,29
MSC03,0.4964285714285714,mem,29
MSC04,0.4707142857142857,mem,29
MSC05,0.5142857142857143,mem,29
MSC06,0.5228571428571429,mem,29
MSC07,0.5321428571428571,mem,29
MSC10,0.5107142857142858,mem,29
MSC01,0.48142857142857143,motor,29
MSC02,0.5085714285714286,motor,29
MSC03,0.4607142857142858,motor,29
MSC04,0.4642857142857143,motor,29
MSC05,0.507142857142857,motor,29
MSC06,0.5092857142857142,motor,29
MSC07,0.49999999999999994,motor,29
MSC10,0.5142857142857143,motor,29
MSC01,0.48,mixed,30
MSC02,0.48928571428571427,mixed,30
MSC03,0.48928571428571427,mixed,30
MSC04,0.48214285714285715,mixed,30
MSC05,0.47428571428571425,mixed,30
MSC06,0.5021428571428571,mixed,30
MSC07,0.4892857142857144,mixed,30
MSC10,0.49500000000000005,mixed,30
MSC01,0.4921428571428571,mem,30
MSC02,0.5071428571428572,mem,30
MSC03,0.5014285714285714,mem,30
MSC04,0.5128571428571428,mem,30
MSC05,0.5035714285714287,mem,30
MSC06,0.47642857142857137,mem,30
