task,diff
mem,0.003392857142857137
mixed,-0.014196428571428592
motor,0.03687499999999999
mem,-0.01767857142857144
mixed,0.0035714285714285774
motor,0.009732142857142868
mem,0.0025892857142856946
mixed,-0.025714285714285707
motor,0.012410714285714292
mem,-0.02625
mixed,0.0250892857142857
motor,-0.020357142857142844
mem,-0.022499999999999982
mixed,0.057589285714285725
motor,-0.008035714285714259
mem,0.00741071428571429
mixed,-0.008125000000000002
motor,-0.006696428571428571
mem,0.025357142857142856
mixed,-3.96508223080413e-18
motor,0.002678571428571423
mem,-0.01375
mixed,-0.018303571428571426
motor,-0.030446428571428565
mem,-0.014553571428571426
mixed,0.016964285714285706
motor,-0.033482142857142835
mem,0.02428571428571429
mixed,0.004553571428571439
motor,0.026517857142857145
mem,0.02133928571428572
mixed,-0.00589285714285714
motor,-0.00017857142857141385
mem,0.03285714285714285
mixed,0.01116071428571429
motor,0.012946428571428584
mem,0.013839285714285708
mixed,0.005357142857142851
motor,-0.028482142857142845
mem,0.03330357142857142
mixed,-0.021696428571428568
motor,0.011874999999999997
mem,-0.03767857142857144
mixed,-0.01044642857142858
motor,-0.07946428571428575
mem,-0.033482142857142856
mixed,-0.015357142857142847
motor,-0.004374999999999995
mem,0.030982142857142857
mixed,-0.031964285714285716
motor,0.04321428571428569
mem,0.030535714285714298
mixed,-0.023928571428571434
motor,-0.013214285714285706
mem,-0.016249999999999987
mixed,0.02008928571428573
motor,0.002232142857142846
mem,-0.0020535714285714254
mixed,0.023482142857142858
motor,0.017410714285714283
mem,0.004107142857142855
mixed,0.016071428571428563
motor,0.03857142857142857
mem,-0.04026785714285715
mixed,-0.027053571428571434
motor,0.001785714285714277
mem,0.02625000000000002
mixed,-0.017321428571428574
motor,0.022589285714285718
mem,-0.013303571428571427
mixed,-0.018303571428571436
motor,0.01580357142857141
mem,-0.012410714285714294
mixed,0.013660714285714285
motor,-0.01214285714285714
mem,0.00883928571428572
mixed,0.03830357142857142
motor,-0.013660714285714292
mem,-0.03035714285714285
mixed,0.019642857142857146
motor,0.0020535714285714384
mem,0.00624999999999999
mixed,0.027946428571428587
motor,-0.010446428571428575
mem,-0.005357142857142839
mixed,0.02035714285714287
motor,-0.027857142857142865
mem,-0.019821428571428545
mixed,-0.029107142857142842
motor,-0.011607142857142858
mem,0.003928571428571432
mixed,0.00392857142857143
motor,-0.032232142857142855
mem,-0.010357142857142855
mixed,-0.014553571428571421
motor,0.007499999999999997
mem,-0.008482142857142853
mixed,0.0020535714285714194
motor,-0.016339285714285712
mem,-0.02401785714285714
mixed,0.00196428571428571
motor,0.006964285714285696
mem,-0.0086607142857143
mixed,-0.00732142857142858
motor,-0.037321428571428575
mem,-0.014375000000000002
mixed,-0.04964285714285715
motor,0.020000000000000007
mem,0.009375000000000005
mixed,-0.010357142857142865
motor,-0.031785714285714285
mem,0.02383928571428573
mixed,0.004910714285714281
motor,-0.04187499999999998
mem,-0.029017857142857144
mixed,0.014553571428571438
motor,-0.030982142857142847
mem,-0.027767857142857146
mixed,-0.015357142857142863
motor,-0.009375000000000003
mem,-0.0020535714285714332
mixed,-0.020089285714285705
motor,0.0061607142857142885
mem,-0.0007142857142857119
mixed,-0.028839285714285703
motor,0.014107142857142858
mem,0.0040178571428571485
mixed,0.031785714285714285
motor,-0.03803571428571427
mem,-0.009285714285714291
mixed,-0.0017857142857142813
motor,-0.047678571428571445
mem,-0.016607142857142845
mixed,0.06875
motor,-0.009910714285714283
mem,-0.05437499999999999
