train_task,test_task,train_sub,test_sub,acc
mixed,motor,MSC01,MSC02,0.53
mixed,mem,MSC01,MSC02,0.56
motor,mixed,MSC01,MSC02,0.465
motor,mem,MSC01,MSC02,0.495
mem,mixed,MSC01,MSC02,0.5249999999999999
mem,motor,MSC01,MSC02,0.495
mixed,motor,MSC01,MSC03,0.425
mixed,mem,MSC01,MSC03,0.76875
motor,mixed,MSC01,MSC03,0.6000000000000001
motor,mem,MSC01,MSC03,0.625
mem,mixed,MSC01,MSC03,0.5349999999999999
mem,motor,MSC01,MSC03,0.5
mixed,motor,MSC01,MSC04,0.51
mixed,mem,MSC01,MSC04,0.59
motor,mixed,MSC01,MSC04,0.5249999999999999
motor,mem,MSC01,MSC04,0.47000000000000003
mem,mixed,MSC01,MSC04,0.59
mem,motor,MSC01,MSC04,0.5799999999999998
mixed,motor,MSC01,MSC05,0.515
mixed,mem,MSC01,MSC05,0.82
motor,mixed,MSC01,MSC05,0.745
motor,mem,MSC01,MSC05,0.82
mem,mixed,MSC01,MSC05,0.7250000000000001
mem,motor,MSC01,MSC05,0.635
mixed,motor,MSC01,MSC06,0.5
mixed,mem,MSC01,MSC06,0.51
motor,mixed,MSC01,MSC06,0.5899999999999999
motor,mem,MSC01,MSC06,0.5949999999999999
mem,mixed,MSC01,MSC06,0.5399999999999999
mem,motor,MSC01,MSC06,0.47777777777777775
mixed,motor,MSC01,MSC07,0.5888888888888889
mixed,mem,MSC01,MSC07,0.5849999999999999
motor,mixed,MSC01,MSC07,0.635
motor,mem,MSC01,MSC07,0.45000000000000007
mem,mixed,MSC01,MSC07,0.655
mem,motor,MSC01,MSC07,0.4666666666666667
mixed,motor,MSC01,MSC10,0.7649999999999999
mixed,mem,MSC01,MSC10,0.5649999999999998
motor,mixed,MSC01,MSC10,0.575
motor,mem,MSC01,MSC10,0.5
mem,mixed,MSC01,MSC10,0.7000000000000001
mem,motor,MSC01,MSC10,0.8950000000000001
mixed,motor,MSC02,MSC01,0.6849999999999999
mixed,mem,MSC02,MSC01,0.6
motor,mixed,MSC02,MSC01,0.55
motor,mem,MSC02,MSC01,0.5
mem,mixed,MSC02,MSC01,0.355
mem,motor,MSC02,MSC01,0.35
mixed,motor,MSC02,MSC03,0.40499999999999997
mixed,mem,MSC02,MSC03,0.575
motor,mixed,MSC02,MSC03,0.45500000000000007
motor,mem,MSC02,MSC03,0.44375
mem,mixed,MSC02,MSC03,0.545
mem,motor,MSC02,MSC03,0.5549999999999999
mixed,motor,MSC02,MSC04,0.5650000000000001
mixed,mem,MSC02,MSC04,0.525
motor,mixed,MSC02,MSC04,0.72
motor,mem,MSC02,MSC04,0.565
mem,mixed,MSC02,MSC04,0.58
mem,motor,MSC02,MSC04,0.68
mixed,motor,MSC02,MSC05,0.6450000000000001
mixed,mem,MSC02,MSC05,0.7999999999999999
