,test_task,train_task,Mean,Std
0,mem,mixed,0.6407142857142859,0.11694789465798462
1,mem,motor,0.6192584325396825,0.11903871446751063
2,mixed,mem,0.6723660714285715,0.11217900634381513
3,mixed,motor,0.6091468253968254,0.12062417003247618
4,motor,mem,0.7044444444444442,0.10907189643290456
5,motor,mixed,0.6659424603174602,0.13961466610059273
