train_task,test_task,train_sub,test_sub,acc
mixed,motor,MSC04,MSC03,0.825
mixed,mem,MSC04,MSC03,0.8
motor,mixed,MSC04,MSC03,0.725
motor,mem,MSC04,MSC03,0.80625
mem,mixed,MSC04,MSC03,0.685
mem,motor,MSC04,MSC03,0.76
mixed,motor,MSC04,MSC05,0.835
mixed,mem,MSC04,MSC05,0.9399999999999998
motor,mixed,MSC04,MSC05,0.595
motor,mem,MSC04,MSC05,0.6749999999999999
mem,mixed,MSC04,MSC05,0.595
mem,motor,MSC04,MSC05,0.725
mixed,motor,MSC04,MSC06,0.8166666666666667
mixed,mem,MSC04,MSC06,0.9949999999999999
motor,mixed,MSC04,MSC06,0.5299999999999999
motor,mem,MSC04,MSC06,0.5499999999999999
mem,mixed,MSC04,MSC06,0.7
mem,motor,MSC04,MSC06,0.7611111111111111
mixed,motor,MSC04,MSC07,0.6333333333333333
mixed,mem,MSC04,MSC07,0.6950000000000001
motor,mixed,MSC04,MSC07,0.5650000000000001
motor,mem,MSC04,MSC07,0.5499999999999999
mem,mixed,MSC04,MSC07,0.675
mem,motor,MSC04,MSC07,0.7944444444444445
mixed,motor,MSC04,MSC10,0.8149999999999998
mixed,mem,MSC04,MSC10,0.875
motor,mixed,MSC04,MSC10,0.72
motor,mem,MSC04,MSC10,0.7899999999999999
mem,mixed,MSC04,MSC10,0.8800000000000001
mem,motor,MSC04,MSC10,0.82
mixed,motor,MSC05,MSC01,0.7649999999999999
mixed,mem,MSC05,MSC01,0.7899999999999999
motor,mixed,MSC05,MSC01,0.5
motor,mem,MSC05,MSC01,0.5
mem,mixed,MSC05,MSC01,0.7649999999999999
mem,motor,MSC05,MSC01,0.8949999999999999
mixed,motor,MSC05,MSC02,0.61
mixed,mem,MSC05,MSC02,0.6600000000000001
motor,mixed,MSC05,MSC02,0.5
motor,mem,MSC05,MSC02,0.5
mem,mixed,MSC05,MSC02,0.775
mem,motor,MSC05,MSC02,0.8099999999999999
mixed,motor,MSC05,MSC03,0.8699999999999998
mixed,mem,MSC05,MSC03,0.84375
motor,mixed,MSC05,MSC03,0.51
motor,mem,MSC05,MSC03,0.5
mem,mixed,MSC05,MSC03,0.8499999999999999
