,mem,train,test
0,0.75,MSC04,MSC06
1,0.55,MSC04,MSC06
2,0.55,MSC04,MSC06
3,0.55,MSC04,MSC06
4,0.55,MSC04,MSC06
5,0.55,MSC04,MSC06
6,0.55,MSC04,MSC06
7,0.55,MSC04,MSC06
8,0.65,MSC04,MSC06
9,0.65,MSC04,MSC06
