,mixed,train,test
0,0.75,MSC10,MSC04
1,0.8,MSC10,MSC04
2,0.9,MSC10,MSC04
3,0.85,MSC10,MSC04
4,0.7,MSC10,MSC04
5,0.9,MSC10,MSC04
6,0.8,MSC10,MSC04
7,0.9,MSC10,MSC04
8,0.9,MSC10,MSC04
9,0.8,MSC10,MSC04
