,motor,train,test
0,0.75,MSC06,MSC10
1,0.95,MSC06,MSC10
2,0.95,MSC06,MSC10
3,0.9,MSC06,MSC10
4,1.0,MSC06,MSC10
5,0.9,MSC06,MSC10
6,0.95,MSC06,MSC10
7,0.65,MSC06,MSC10
8,0.95,MSC06,MSC10
9,0.9,MSC06,MSC10
