,motor,train,test
0,1.0,MSC10,MSC01
1,0.85,MSC10,MSC01
2,0.8,MSC10,MSC01
3,0.9,MSC10,MSC01
4,0.8,MSC10,MSC01
5,0.75,MSC10,MSC01
6,1.0,MSC10,MSC01
7,0.95,MSC10,MSC01
8,0.85,MSC10,MSC01
9,0.95,MSC10,MSC01
