acc,train,test,train_task,test_task
0.75,MSC04,MSC01,mixed,mem
0.9,MSC04,MSC01,mixed,mem
0.85,MSC04,MSC01,mixed,mem
0.9,MSC04,MSC01,mixed,mem
0.75,MSC04,MSC01,mixed,mem
0.85,MSC04,MSC01,mixed,mem
0.85,MSC04,MSC01,mixed,mem
0.85,MSC04,MSC01,mixed,mem
0.7,MSC04,MSC01,mixed,mem
0.85,MSC04,MSC01,mixed,mem
0.75,MSC04,MSC01,mixed,motor
0.9,MSC04,MSC01,mixed,motor
0.85,MSC04,MSC01,mixed,motor
0.9,MSC04,MSC01,mixed,motor
0.75,MSC04,MSC01,mixed,motor
0.85,MSC04,MSC01,mixed,motor
0.85,MSC04,MSC01,mixed,motor
0.85,MSC04,MSC01,mixed,motor
0.7,MSC04,MSC01,mixed,motor
0.85,MSC04,MSC01,mixed,motor
0.85,MSC04,MSC01,mem,mixed
0.9,MSC04,MSC01,mem,mixed
0.9,MSC04,MSC01,mem,mixed
0.95,MSC04,MSC01,mem,mixed
0.95,MSC04,MSC01,mem,mixed
0.95,MSC04,MSC01,mem,mixed
1.0,MSC04,MSC01,mem,mixed
0.95,MSC04,MSC01,mem,mixed
0.95,MSC04,MSC01,mem,mixed
0.95,MSC04,MSC01,mem,mixed
0.85,MSC04,MSC01,mem,motor
1.0,MSC04,MSC01,mem,motor
1.0,MSC04,MSC01,mem,motor
1.0,MSC04,MSC01,mem,motor
0.95,MSC04,MSC01,mem,motor
0.95,MSC04,MSC01,mem,motor
1.0,MSC04,MSC01,mem,motor
0.95,MSC04,MSC01,mem,motor
0.95,MSC04,MSC01,mem,motor
0.95,MSC04,MSC01,mem,motor
0.75,MSC04,MSC01,motor,mixed
0.55,MSC04,MSC01,motor,mixed
0.55,MSC04,MSC01,motor,mixed
0.55,MSC04,MSC01,motor,mixed
0.55,MSC04,MSC01,motor,mixed
0.55,MSC04,MSC01,motor,mixed
0.55,MSC04,MSC01,motor,mixed
0.55,MSC04,MSC01,motor,mixed
0.55,MSC04,MSC01,motor,mixed
0.65,MSC04,MSC01,motor,mixed
0.8,MSC04,MSC01,motor,mem
0.6,MSC04,MSC01,motor,mem
0.7,MSC04,MSC01,motor,mem
0.55,MSC04,MSC01,motor,mem
0.65,MSC04,MSC01,motor,mem
0.7,MSC04,MSC01,motor,mem
0.6,MSC04,MSC01,motor,mem
0.7,MSC04,MSC01,motor,mem
0.7,MSC04,MSC01,motor,mem
0.8,MSC04,MSC01,motor,mem
0.8,MSC04,MSC02,mixed,mem
0.9,MSC04,MSC02,mixed,mem
0.8,MSC04,MSC02,mixed,mem
0.9,MSC04,MSC02,mixed,mem
0.8,MSC04,MSC02,mixed,mem
0.85,MSC04,MSC02,mixed,mem
0.95,MSC04,MSC02,mixed,mem
0.85,MSC04,MSC02,mixed,mem
0.9,MSC04,MSC02,mixed,mem
0.9,MSC04,MSC02,mixed,mem
0.8,MSC04,MSC02,mixed,motor
0.9,MSC04,MSC02,mixed,motor
0.8,MSC04,MSC02,mixed,motor
0.9,MSC04,MSC02,mixed,motor
0.8,MSC04,MSC02,mixed,motor
0.85,MSC04,MSC02,mixed,motor
0.8,MSC04,MSC02,mixed,motor
0.85,MSC04,MSC02,mixed,motor
0.9,MSC04,MSC02,mixed,motor
0.9,MSC04,MSC02,mixed,motor
0.7,MSC04,MSC02,mem,mixed
0.6,MSC04,MSC02,mem,mixed
0.65,MSC04,MSC02,mem,mixed
0.75,MSC04,MSC02,mem,mixed
0.7,MSC04,MSC02,mem,mixed
0.75,MSC04,MSC02,mem,mixed
0.7,MSC04,MSC02,mem,mixed
0.75,MSC04,MSC02,mem,mixed
0.6,MSC04,MSC02,mem,mixed
0.75,MSC04,MSC02,mem,mixed
0.7,MSC04,MSC02,mem,motor
0.55,MSC04,MSC02,mem,motor
0.55,MSC04,MSC02,mem,motor
0.6,MSC04,MSC02,mem,motor
0.6,MSC04,MSC02,mem,motor
0.6,MSC04,MSC02,mem,motor
0.55,MSC04,MSC02,mem,motor
0.7,MSC04,MSC02,mem,motor
0.55,MSC04,MSC02,mem,motor
0.65,MSC04,MSC02,mem,motor
0.85,MSC04,MSC02,motor,mixed
0.6,MSC04,MSC02,motor,mixed
0.7,MSC04,MSC02,motor,mixed
0.6,MSC04,MSC02,motor,mixed
0.6,MSC04,MSC02,motor,mixed
0.6,MSC04,MSC02,motor,mixed
0.65,MSC04,MSC02,motor,mixed
0.75,MSC04,MSC02,motor,mixed
0.65,MSC04,MSC02,motor,mixed
0.85,MSC04,MSC02,motor,mixed
0.95,MSC04,MSC02,motor,mem
0.7,MSC04,MSC02,motor,mem
0.85,MSC04,MSC02,motor,mem
0.7,MSC04,MSC02,motor,mem
0.75,MSC04,MSC02,motor,mem
0.8,MSC04,MSC02,motor,mem
0.7,MSC04,MSC02,motor,mem
0.75,MSC04,MSC02,motor,mem
0.8,MSC04,MSC02,motor,mem
0.8,MSC04,MSC02,motor,mem
0.75,MSC04,MSC03,mixed,mem
0.75,MSC04,MSC03,mixed,mem
0.75,MSC04,MSC03,mixed,mem
0.8,MSC04,MSC03,mixed,mem
0.75,MSC04,MSC03,mixed,mem
0.75,MSC04,MSC03,mixed,mem
0.8,MSC04,MSC03,mixed,mem
0.75,MSC04,MSC03,mixed,mem
0.7,MSC04,MSC03,mixed,mem
0.75,MSC04,MSC03,mixed,mem
0.75,MSC04,MSC03,mixed,motor
0.75,MSC04,MSC03,mixed,motor
0.75,MSC04,MSC03,mixed,motor
0.8,MSC04,MSC03,mixed,motor
0.75,MSC04,MSC03,mixed,motor
0.75,MSC04,MSC03,mixed,motor
0.75,MSC04,MSC03,mixed,motor
0.75,MSC04,MSC03,mixed,motor
0.7,MSC04,MSC03,mixed,motor
0.75,MSC04,MSC03,mixed,motor
0.65,MSC04,MSC03,mem,mixed
0.65,MSC04,MSC03,mem,mixed
0.8,MSC04,MSC03,mem,mixed
0.65,MSC04,MSC03,mem,mixed
0.6,MSC04,MSC03,mem,mixed
0.6,MSC04,MSC03,mem,mixed
0.75,MSC04,MSC03,mem,mixed
0.55,MSC04,MSC03,mem,mixed
0.55,MSC04,MSC03,mem,mixed
0.6,MSC04,MSC03,mem,mixed
0.65,MSC04,MSC03,mem,motor
0.85,MSC04,MSC03,mem,motor
0.85,MSC04,MSC03,mem,motor
0.75,MSC04,MSC03,mem,motor
0.65,MSC04,MSC03,mem,motor
0.65,MSC04,MSC03,mem,motor
0.85,MSC04,MSC03,mem,motor
0.65,MSC04,MSC03,mem,motor
0.65,MSC04,MSC03,mem,motor
0.65,MSC04,MSC03,mem,motor
0.9,MSC04,MSC03,motor,mixed
0.65,MSC04,MSC03,motor,mixed
0.7,MSC04,MSC03,motor,mixed
0.6,MSC04,MSC03,motor,mixed
0.6,MSC04,MSC03,motor,mixed
0.65,MSC04,MSC03,motor,mixed
0.7,MSC04,MSC03,motor,mixed
0.65,MSC04,MSC03,motor,mixed
0.85,MSC04,MSC03,motor,mixed
0.9,MSC04,MSC03,motor,mixed
0.85,MSC04,MSC03,motor,mem
0.7,MSC04,MSC03,motor,mem
0.8,MSC04,MSC03,motor,mem
0.7,MSC04,MSC03,motor,mem
0.65,MSC04,MSC03,motor,mem
0.8,MSC04,MSC03,motor,mem
0.8,MSC04,MSC03,motor,mem
0.8,MSC04,MSC03,motor,mem
0.85,MSC04,MSC03,motor,mem
0.85,MSC04,MSC03,motor,mem
1.0,MSC04,MSC05,mixed,mem
1.0,MSC04,MSC05,mixed,mem
