,acc,train,test,train_task,test_task
0,0.7,MSC01,MSC04,mixed,mem
1,0.8,MSC01,MSC04,mixed,mem
2,0.9,MSC01,MSC04,mixed,mem
3,0.85,MSC01,MSC04,mixed,mem
4,0.85,MSC01,MSC04,mixed,mem
5,0.85,MSC01,MSC04,mixed,mem
6,0.8,MSC01,MSC04,mixed,mem
7,0.75,MSC01,MSC04,mixed,mem
8,0.75,MSC01,MSC04,mixed,mem
9,0.8,MSC01,MSC04,mixed,mem
