,mixed,train,test
0,0.65,MSC03,MSC07
1,0.6,MSC03,MSC07
2,0.6,MSC03,MSC07
3,0.55,MSC03,MSC07
4,0.6,MSC03,MSC07
5,0.6,MSC03,MSC07
6,0.7,MSC03,MSC07
7,0.6,MSC03,MSC07
8,0.6,MSC03,MSC07
9,0.6,MSC03,MSC07
