,motor,train,test
0,0.7,MSC04,MSC02
1,0.55,MSC04,MSC02
2,0.55,MSC04,MSC02
3,0.6,MSC04,MSC02
4,0.6,MSC04,MSC02
5,0.6,MSC04,MSC02
6,0.55,MSC04,MSC02
7,0.7,MSC04,MSC02
8,0.55,MSC04,MSC02
9,0.65,MSC04,MSC02
