,mem,train,test
0,0.75,MSC03,MSC05
1,0.75,MSC03,MSC05
2,0.7,MSC03,MSC05
3,0.7,MSC03,MSC05
4,0.75,MSC03,MSC05
5,0.8,MSC03,MSC05
6,0.8,MSC03,MSC05
7,0.65,MSC03,MSC05
8,0.7,MSC03,MSC05
9,0.7,MSC03,MSC05
