,mixed,train,test
0,0.5,MSC03,MSC02
1,0.5,MSC03,MSC02
2,0.5,MSC03,MSC02
3,0.45,MSC03,MSC02
4,0.5,MSC03,MSC02
5,0.5,MSC03,MSC02
6,0.55,MSC03,MSC02
7,0.5,MSC03,MSC02
8,0.5,MSC03,MSC02
9,0.5,MSC03,MSC02
