,mixed,train,test
0,0.95,MSC07,MSC01
1,0.95,MSC07,MSC01
2,0.95,MSC07,MSC01
3,0.95,MSC07,MSC01
4,0.95,MSC07,MSC01
5,0.7,MSC07,MSC01
6,0.95,MSC07,MSC01
7,0.9,MSC07,MSC01
8,0.9,MSC07,MSC01
9,0.95,MSC07,MSC01
