,acc,train,test,train_task,test_task
0,0.75,MSC07,MSC05,motor,mixed
1,0.85,MSC07,MSC05,motor,mixed
2,0.8,MSC07,MSC05,motor,mixed
3,0.75,MSC07,MSC05,motor,mixed
4,0.8,MSC07,MSC05,motor,mixed
5,0.7,MSC07,MSC05,motor,mixed
6,0.65,MSC07,MSC05,motor,mixed
7,0.8,MSC07,MSC05,motor,mixed
8,0.85,MSC07,MSC05,motor,mixed
9,0.75,MSC07,MSC05,motor,mixed
