,motor,train,test
0,0.8,MSC04,MSC05
1,0.6,MSC04,MSC05
2,0.75,MSC04,MSC05
3,0.75,MSC04,MSC05
4,0.8,MSC04,MSC05
5,0.75,MSC04,MSC05
6,0.55,MSC04,MSC05
7,0.8,MSC04,MSC05
8,0.65,MSC04,MSC05
9,0.9,MSC04,MSC05
