sub,glass,semantic,motor,mem
MSC01,0.8,0.95,0.95,0.9
MSC02,0.65,0.7,1.0,0.95
MSC03,0.85,0.85,1.0,0.85
MSC04,0.85,0.85,1.0,1.0
MSC05,0.95,0.9,1.0,1.0
MSC06,0.8888888888888888,0.85,0.9,1.0
MSC07,0.9,0.9,0.95,0.8
MSC10,0.7,0.9,0.95,1.0
