train_task,test_task,diff
glass,mem,-0.029285714285714266
glass,motor,-0.04759920634920638
glass,semantic,-0.03717261904761905
mem,glass,-0.028492063492063492
mem,motor,-0.012857142857142899
mem,semantic,-0.01571428571428569
motor,glass,-0.09342261904761903
motor,mem,-0.000267857142857155
motor,semantic,-0.04830357142857143
semantic,glass,-0.0036805555555555858
semantic,mem,-0.09160714285714287
semantic,motor,0.002232142857142867
glass,mem,-0.00840277777777781
glass,motor,-0.0009027777777778119
glass,semantic,-0.07311507936507941
mem,glass,-0.07507936507936508
mem,motor,0.006339285714285679
mem,semantic,-0.07741071428571437
motor,glass,0.047123015873015865
motor,mem,0.00705357142857141
motor,semantic,-0.004732142857142879
semantic,glass,0.035952380952380916
semantic,mem,-0.0003571428571428614
semantic,motor,0.025000000000000022
glass,mem,0.022817460317460268
glass,motor,-0.0252876984126984
glass,semantic,-0.12641865079365078
mem,glass,0.06314484126984125
mem,motor,-0.03651785714285714
mem,semantic,-0.10267857142857142
motor,glass,0.0866964285714286
motor,mem,0.07446428571428573
motor,semantic,0.01723214285714286
semantic,glass,-0.07839285714285717
semantic,mem,-0.07339285714285712
semantic,motor,-0.013571428571428571
glass,mem,0.09448412698412699
glass,motor,-0.12749007936507936
glass,semantic,-0.0306547619047619
mem,glass,0.03361111111111111
mem,motor,-0.054642857142857104
mem,semantic,-0.11017857142857143
motor,glass,0.0874503968253968
motor,mem,0.0894642857142858
motor,semantic,0.0016071428571428567
semantic,glass,0.09737103174603176
semantic,mem,-0.029642857142857148
semantic,motor,0.07375000000000002
glass,mem,-0.06806547619047622
glass,motor,0.024176587301587282
glass,semantic,-0.08339285714285713
mem,glass,0.07394841269841272
mem,motor,-0.09258928571428571
mem,semantic,0.00428571428571428
motor,glass,-0.009355158730158736
motor,mem,0.00946428571428573
motor,semantic,0.0774107142857143
semantic,glass,0.052271825396825344
semantic,mem,0.0006249999999999926
semantic,motor,0.02696428571428567
glass,mem,-0.03845238095238094
glass,motor,-0.04747023809523803
glass,semantic,0.03642857142857143
mem,glass,-0.004712301587301536
mem,motor,-0.018928571428571444
mem,semantic,-0.016249999999999987
motor,glass,0.1391369047619048
motor,mem,0.014999999999999982
motor,semantic,0.07991071428571431
semantic,glass,0.035813492063492096
semantic,mem,-0.04812499999999996
semantic,motor,0.09910714285714292
glass,mem,0.010138888888888914
glass,motor,-0.03575396825396825
glass,semantic,0.04308531746031742
mem,glass,0.017192460317460367
mem,motor,0.0030357142857143173
mem,semantic,-0.11071428571428574
motor,glass,0.008501984126984129
motor,mem,0.05107142857142861
motor,semantic,-0.047410714285714285
semantic,glass,0.007728174603174575
semantic,mem,-0.03499999999999998
semantic,motor,-0.03892857142857142
glass,mem,0.011240079365079378
glass,motor,-0.052986111111111116
glass,semantic,0.08305555555555551
mem,glass,0.03282738095238097
mem,motor,-0.03366071428571426
mem,semantic,0.007053571428571403
motor,glass,0.009930555555555571
motor,mem,-0.036607142857142845
motor,semantic,0.041607142857142836
semantic,glass,-0.05711309523809522
semantic,mem,0.06714285714285716
semantic,motor,0.0025000000000000053
glass,mem,0.045525793650793636
glass,motor,-0.03876984126984129
glass,semantic,0.01688492063492065
mem,glass,-0.019543650793650797
mem,motor,0.014642857142857088
mem,semantic,0.003124999999999982
motor,glass,0.007648809523809503
motor,mem,0.10258928571428569
motor,semantic,-0.013125000000000036
semantic,glass,0.05429563492063494
semantic,mem,-0.10205357142857142
semantic,motor,0.06535714285714282
glass,mem,0.039523809523809524
glass,motor,-0.011696428571428576
glass,semantic,-0.02818452380952379
mem,glass,-0.061706349206349195
mem,motor,0.012232142857142834
mem,semantic,-0.02294642857142859
motor,glass,0.06650793650793649
motor,mem,0.01973214285714287
motor,semantic,-0.010892857142857164
semantic,glass,0.03724206349206348
semantic,mem,-0.061160714285714284
semantic,motor,-0.019196428571428562
glass,mem,0.08768849206349201
glass,motor,0.007807539682539659
glass,semantic,0.06519841269841264
mem,glass,0.10651785714285719
mem,motor,0.031071428571428566
mem,semantic,0.07553571428571426
motor,glass,-0.008511904761904795
motor,mem,-0.03116071428571428
motor,semantic,-0.007946428571428538
semantic,glass,-0.015654761904761914
semantic,mem,-0.02116071428571428
semantic,motor,0.007946428571428545
glass,mem,0.008730158730158744
glass,motor,0.017172619047619037
glass,semantic,0.07923611111111106
mem,glass,-0.01903769841269844
mem,motor,0.02169642857142855
mem,semantic,0.03553571428571427
motor,glass,-0.06414682539682535
motor,mem,0.004553571428571444
motor,semantic,-0.013571428571428595
semantic,glass,0.0911706349206349
semantic,mem,-0.047678571428571404
semantic,motor,-0.000714285714285713
glass,mem,0.051398809523809506
glass,motor,-0.05075396825396824
glass,semantic,-0.01960317460317463
mem,glass,0.013759920634920597
mem,motor,0.0009821428571428223
mem,semantic,-0.04875000000000001
motor,glass,0.010555555555555554
motor,mem,-0.06321428571428576
motor,semantic,0.038928571428571423
semantic,glass,0.005019841269841266
semantic,mem,-0.013839285714285705
semantic,motor,0.013571428571428573
glass,mem,-0.03775793650793651
glass,motor,0.09225198412698411
glass,semantic,0.08012896825396824
mem,glass,-0.07822420634920636
mem,motor,0.014285714285714275
mem,semantic,0.12357142857142854
motor,glass,-0.014414682539682576
motor,mem,0.0007142857142857477
motor,semantic,-0.03133928571428573
semantic,glass,0.03245039682539679
semantic,mem,-0.00035714285714281285
semantic,motor,-0.08821428571428572
glass,mem,-0.01458333333333332
glass,motor,0.06263888888888888
glass,semantic,0.09370039682539681
mem,glass,-0.008323412698412705
