train_task,test_task,diff
glass,mem,0.021458333333333322
glass,motor,0.022638888888888896
glass,semantic,0.028958333333333322
mem,glass,0.06347222222222224
mem,motor,-0.08687500000000001
mem,semantic,-0.057499999999999996
motor,glass,0.02145833333333331
motor,mem,-0.034374999999999975
motor,semantic,0.04437500000000001
semantic,glass,-0.054722222222222255
semantic,mem,-0.08562500000000002
semantic,motor,0.03562499999999996
glass,mem,-0.06368055555555552
glass,motor,-0.02534722222222225
glass,semantic,0.0029166666666666646
mem,glass,0.00506944444444446
mem,motor,-0.074375
mem,semantic,-0.047500000000000014
motor,glass,0.021319444444444446
motor,mem,-0.04374999999999999
motor,semantic,-0.11749999999999997
semantic,glass,-0.11673611111111114
semantic,mem,-0.028124999999999997
semantic,motor,-0.069375
glass,mem,0.02402777777777778
glass,motor,0.028541666666666667
glass,semantic,-0.06875000000000003
mem,glass,0.0034027777777777615
mem,motor,-0.008750000000000015
mem,semantic,-0.018749999999999996
motor,glass,0.07500000000000001
motor,mem,0.14062500000000003
motor,semantic,-0.056874999999999995
semantic,glass,0.030763888888888896
semantic,mem,-0.028124999999999983
semantic,motor,0.043124999999999976
glass,mem,0.03618055555555556
glass,motor,-0.04847222222222224
glass,semantic,-0.012152777777777839
mem,glass,0.03187499999999999
mem,motor,0.015624999999999993
mem,semantic,-0.06312500000000004
motor,glass,0.0642361111111111
motor,mem,-0.003124999999999996
motor,semantic,0.04124999999999999
semantic,glass,-0.036736111111111094
semantic,mem,-0.020000000000000004
semantic,motor,-0.040000000000000015
glass,mem,0.0035416666666666374
glass,motor,0.023124999999999986
glass,semantic,-0.060416666666666716
mem,glass,-0.06548611111111116
mem,motor,-0.06812500000000002
mem,semantic,0.06
motor,glass,-0.003680555555555527
motor,mem,-0.045000000000000026
motor,semantic,-0.0018750000000000225
semantic,glass,-0.02291666666666667
semantic,mem,0.026875000000000017
semantic,motor,-0.0875
glass,mem,0.05291666666666663
glass,motor,0.0004861111111111212
glass,semantic,0.05312500000000001
mem,glass,-0.025486111111111084
mem,motor,-0.05874999999999998
mem,semantic,0.04750000000000004
motor,glass,0.02756944444444443
motor,mem,0.036875000000000005
motor,semantic,0.03625000000000004
semantic,glass,-0.06048611111111112
semantic,mem,-0.02062500000000002
semantic,motor,0.070625
glass,mem,0.016944444444444408
glass,motor,-0.09687500000000004
glass,semantic,0.02062500000000004
mem,glass,0.05229166666666666
mem,motor,0.056250000000000015
mem,semantic,-0.018750000000000024
motor,glass,0.04243055555555556
motor,mem,-0.03187499999999999
motor,semantic,0.113125
semantic,glass,0.055416666666666684
semantic,mem,0.06687500000000002
semantic,motor,-0.028124999999999945
glass,mem,0.0018749999999999947
glass,motor,-0.07805555555555553
glass,semantic,-0.01173611111111111
mem,glass,-0.01430555555555555
mem,motor,-0.05250000000000003
mem,semantic,0.074375
motor,glass,0.06791666666666667
motor,mem,0.08499999999999999
motor,semantic,-0.05562500000000002
semantic,glass,-0.08027777777777775
semantic,mem,0.043125000000000024
semantic,motor,-0.08250000000000002
glass,mem,-0.019097222222222245
glass,motor,0.15993055555555558
glass,semantic,-0.01486111111111111
mem,glass,0.08451388888888892
mem,motor,0.16500000000000004
mem,semantic,0.03812500000000001
motor,glass,0.01555555555555551
motor,mem,-0.06187500000000001
motor,semantic,-0.07124999999999998
semantic,glass,-0.06861111111111111
semantic,mem,-0.019375000000000017
semantic,motor,-0.017499999999999967
glass,mem,0.038125000000000006
glass,motor,0.04763888888888891
glass,semantic,0.11659722222222219
mem,glass,-0.08180555555555558
mem,motor,0.0018749999999999947
mem,semantic,-0.04125000000000003
motor,glass,0.00979166666666667
motor,mem,0.00250000000000003
motor,semantic,-0.071875
semantic,glass,-0.014791666666666717
semantic,mem,-0.06875
semantic,motor,-0.05499999999999998
glass,mem,0.016805555555555574
glass,motor,0.056041666666666656
glass,semantic,-0.0372222222222222
mem,glass,0.0011111111111110697
mem,motor,-0.018125000000000023
mem,semantic,0.045625000000000006
motor,glass,0.006111111111111102
motor,mem,0.007500000000000007
motor,semantic,-0.013125000000000005
semantic,glass,0.014513888888888854
semantic,mem,0.006875000000000006
semantic,motor,0.025624999999999988
glass,mem,0.10729166666666666
glass,motor,0.003680555555555562
