task,diff
glass,-0.020396825396825392
mem,-0.016250000000000004
motor,0.017589285714285714
semantic,0.009732142857142856
glass,-0.04019841269841269
mem,0.006339285714285721
motor,0.002232142857142849
semantic,0.009642857142857135
glass,-0.049365079365079355
mem,0.016964285714285723
motor,0.009374999999999998
semantic,0.006160714285714282
glass,0.011607142857142868
mem,-0.025535714285714283
motor,-0.008660714285714287
semantic,0.010267857142857153
glass,0.03847222222222225
mem,0.007589285714285722
motor,-0.005982142857142848
semantic,0.00982142857142859
glass,-0.032748015873015894
mem,-0.029196428571428575
motor,0.008571428571428568
semantic,0.018839285714285715
glass,-0.003105158730158739
mem,0.03973214285714286
motor,0.00017857142857143665
semantic,-0.007142857142857139
glass,-0.007767857142857139
mem,0.015714285714285715
motor,0.005803571428571426
semantic,-0.014285714285714285
glass,0.06148809523809524
mem,0.010178571428571443
motor,-0.007142857142857136
semantic,-0.03455357142857141
glass,-0.00882936507936507
mem,-0.015624999999999995
motor,0.010089285714285693
semantic,0.002410714285714274
glass,0.018144841269841283
mem,0.027410714285714295
motor,0.035892857142857136
semantic,0.009464285714285715
glass,-0.0061904761904762046
mem,0.019375000000000003
motor,0.02026785714285714
semantic,0.015000000000000017
glass,-0.011398809523809509
mem,-0.026071428571428558
motor,0.015357142857142875
semantic,-0.010446428571428565
glass,-0.0008531746031746017
mem,0.03071428571428571
motor,-0.019107142857142868
semantic,0.004553571428571427
glass,-0.02550595238095238
mem,-0.04749999999999999
motor,-0.04508928571428572
semantic,-0.006160714285714296
glass,0.011081349206349221
mem,0.030982142857142864
motor,0.01741071428571427
semantic,0.01473214285714286
glass,0.028472222222222232
mem,0.005714285714285715
motor,0.0014285714285714307
semantic,-0.006696428571428569
glass,0.01632936507936507
mem,0.01625000000000001
motor,0.013660714285714292
semantic,0.005089285714285711
glass,0.022470238095238092
mem,0.018571428571428572
motor,-0.021874999999999985
semantic,0.022232142857142864
glass,-0.01844246031746032
mem,0.016696428571428577
motor,-0.017053571428571435
semantic,-0.022053571428571433
glass,-0.0024603174603174682
mem,0.043482142857142865
motor,-0.0638392857142857
semantic,0.006875
glass,0.042420634920634956
mem,0.024107142857142865
motor,-0.018839285714285715
semantic,-0.00017857142857142228
glass,0.014513888888888885
mem,0.009642857142857132
motor,-0.057767857142857114
semantic,-0.025803571428571426
glass,-0.006984126984126986
mem,-0.0058928571428571485
motor,-0.02124999999999999
semantic,0.01232142857142857
glass,0.025287698412698432
mem,-0.006071428571428584
motor,0.021785714285714314
semantic,-0.022499999999999992
glass,-0.0076488095238095325
mem,-0.014821428571428569
motor,-0.02366071428571429
semantic,0.024285714285714282
glass,-0.010952380952380937
mem,0.029107142857142863
motor,-0.036250000000000004
semantic,0.01169642857142857
glass,-0.0598611111111111
mem,0.030982142857142847
motor,0.010624999999999999
semantic,-0.016874999999999987
glass,-0.013373015873015872
mem,-0.007678571428571429
motor,-0.00991071428571429
semantic,0.016696428571428574
glass,-0.019970238095238103
mem,-0.02767857142857142
motor,-0.005446428571428594
semantic,-0.0033035714285714166
glass,-0.021587301587301582
mem,0.012857142857142869
motor,-0.02651785714285714
semantic,-0.016339285714285702
glass,-0.025674603174603183
mem,0.040625
motor,-0.0027678571428571435
semantic,-0.005446428571428568
glass,0.016805555555555563
mem,0.023035714285714277
motor,0.04598214285714286
semantic,0.005267857142857142
glass,-0.02736111111111112
mem,0.02321428571428571
motor,0.023750000000000014
semantic,-0.009196428571428562
glass,-9.92063492062854e-06
mem,-0.0014285714285714368
motor,0.046696428571428576
semantic,-0.0016071428571428532
glass,0.01155753968253968
mem,0.012053571428571445
motor,-0.07562499999999998
semantic,-0.016428571428571414
glass,-0.008591269841269844
