,test_task,train_task,Mean,Std
0,glass,mem,0.6478273809523808,0.1411484988561942
1,glass,motor,0.6091170634920634,0.12174086924952898
2,glass,semantic,0.5827083333333334,0.1078768711643557
3,mem,glass,0.5894841269841269,0.13169958064263612
4,mem,motor,0.6218750000000001,0.12950451905067037
5,mem,semantic,0.5755357142857144,0.10849666342347114
6,motor,glass,0.6306746031746032,0.12406289425771805
7,motor,mem,0.7149107142857144,0.13822738536532864
8,motor,semantic,0.5845535714285715,0.11656943613811654
9,semantic,glass,0.6053571428571428,0.11908943854219137
10,semantic,mem,0.6431250000000002,0.17444343313417204
11,semantic,motor,0.6036607142857143,0.11837725162081901
