train_sub,test_sub,task,acc
MSC06,MSC01,semantic,0.39499999999999996
MSC06,MSC01,glass,0.6222222222222222
MSC06,MSC01,motor,0.53
MSC06,MSC01,mem,0.625
MSC06,MSC02,semantic,0.5
MSC06,MSC02,glass,0.5888888888888889
MSC06,MSC02,motor,0.7399999999999999
MSC06,MSC02,mem,0.835
MSC06,MSC03,semantic,0.6099999999999999
MSC06,MSC03,glass,0.5333333333333333
MSC06,MSC03,motor,0.5349999999999999
MSC06,MSC03,mem,0.785
MSC06,MSC04,semantic,0.745
MSC06,MSC04,glass,0.6888888888888888
MSC06,MSC04,motor,0.525
MSC06,MSC04,mem,0.7699999999999999
MSC06,MSC05,semantic,0.945
MSC06,MSC05,glass,0.6555555555555556
MSC06,MSC05,motor,0.5349999999999999
MSC06,MSC05,mem,0.8800000000000001
MSC06,MSC07,semantic,0.7000000000000001
MSC06,MSC07,glass,0.5833333333333334
MSC06,MSC07,motor,0.6199999999999999
MSC06,MSC07,mem,0.7449999999999999
MSC06,MSC10,semantic,0.445
MSC06,MSC10,glass,0.5444444444444445
MSC06,MSC10,motor,0.495
MSC06,MSC10,mem,0.505
MSC07,MSC01,semantic,0.835
MSC07,MSC01,glass,0.76
MSC07,MSC01,motor,0.505
MSC07,MSC01,mem,0.58
MSC07,MSC02,semantic,0.6950000000000001
MSC07,MSC02,glass,0.565
MSC07,MSC02,motor,0.67
MSC07,MSC02,mem,0.8300000000000001
MSC07,MSC03,semantic,0.65
MSC07,MSC03,glass,0.5
MSC07,MSC03,motor,0.535
MSC07,MSC03,mem,0.45000000000000007
MSC07,MSC04,semantic,0.605
MSC07,MSC04,glass,0.5499999999999999
MSC07,MSC04,motor,0.74
MSC07,MSC04,mem,0.565
MSC07,MSC05,semantic,0.5
MSC07,MSC05,glass,0.5
MSC07,MSC05,motor,0.8600000000000001
MSC07,MSC05,mem,0.4600000000000001
MSC07,MSC06,semantic,0.5149999999999999
MSC07,MSC06,glass,0.5722222222222222
MSC07,MSC06,motor,0.8299999999999998
MSC07,MSC06,mem,0.8950000000000001
MSC07,MSC10,semantic,0.57
MSC07,MSC10,glass,0.5449999999999999
MSC07,MSC10,motor,0.96
MSC07,MSC10,mem,0.8800000000000001
MSC10,MSC01,semantic,0.6100000000000001
MSC10,MSC01,glass,0.5
MSC10,MSC01,motor,0.5
MSC10,MSC01,mem,0.5
MSC10,MSC02,semantic,0.7200000000000001
MSC10,MSC02,glass,0.5449999999999999
MSC10,MSC02,motor,0.6050000000000001
MSC10,MSC02,mem,0.515
MSC10,MSC03,semantic,0.45499999999999996
MSC10,MSC03,glass,0.5599999999999999
MSC10,MSC03,motor,0.5349999999999999
MSC10,MSC03,mem,0.505
MSC10,MSC04,semantic,0.595
MSC10,MSC04,glass,0.7899999999999999
MSC10,MSC04,motor,0.7100000000000001
MSC10,MSC04,mem,0.575
MSC10,MSC05,semantic,0.525
MSC10,MSC05,glass,0.7649999999999999
MSC10,MSC05,motor,0.645
MSC10,MSC05,mem,0.5
MSC10,MSC06,semantic,0.615
MSC10,MSC06,glass,0.5888888888888888
MSC10,MSC06,motor,0.725
MSC10,MSC06,mem,0.58
MSC10,MSC07,semantic,0.7999999999999999
MSC10,MSC07,glass,0.7250000000000001
MSC10,MSC07,motor,0.8950000000000001
MSC10,MSC07,mem,0.7050000000000001
