train,task,same_sub,diff_sub,feature,Null_Network
MSC06,glass,0.7777777777777778,0.5571428571428572,14808,unassign
MSC07,glass,0.9,0.5172661870503596,14808,unassign
MSC10,glass,0.85,0.6402877697841727,14808,unassign
MSC01,motor,1.0,0.9159420289855073,14808,unassign
MSC02,motor,0.95,0.5818840579710145,14808,unassign
MSC03,motor,0.95,0.8471014492753624,14808,unassign
MSC04,motor,1.0,0.9731884057971014,14808,unassign
MSC05,motor,1.0,0.7659420289855072,14808,unassign
MSC06,motor,1.0,0.8025579536370904,14808,unassign
MSC07,motor,1.0,0.8513189448441247,14808,unassign
MSC10,motor,0.95,0.868840579710145,14808,unassign
MSC01,mem,1.0,0.8717391304347826,14808,unassign
MSC02,mem,1.0,0.9282608695652174,14808,unassign
MSC03,mem,0.9375,0.7330357142857142,14808,unassign
MSC04,mem,1.0,0.9014492753623189,14808,unassign
MSC05,mem,1.0,0.8840579710144928,14808,unassign
MSC06,mem,1.0,0.922463768115942,14808,unassign
MSC07,mem,1.0,0.9,14808,unassign
MSC10,mem,0.95,0.8818840579710145,14808,unassign
MSC01,semantic,0.95,0.7464285714285714,14808,unassign
MSC02,semantic,0.9,0.5371428571428571,14808,unassign
MSC03,semantic,0.9,0.5035714285714286,14808,unassign
MSC04,semantic,0.95,0.6678571428571428,14808,unassign
MSC05,semantic,0.95,0.7785714285714286,14808,unassign
MSC06,semantic,0.95,0.8207142857142857,14808,unassign
MSC07,semantic,1.0,0.5642857142857143,14808,unassign
MSC10,semantic,0.9,0.745,14808,unassign
MSC01,glass,0.9,0.6187050359712231,14808,unassign
MSC02,glass,0.8,0.5223021582733813,14808,unassign
MSC03,glass,0.85,0.518705035971223,14808,unassign
MSC04,glass,0.95,0.6798561151079137,14808,unassign
MSC05,glass,0.95,0.5877697841726619,14808,unassign
MSC06,glass,0.8333333333333334,0.5753968253968254,14808,unassign
MSC07,glass,0.95,0.5194244604316547,14808,unassign
MSC10,glass,0.85,0.6431654676258993,14808,unassign
MSC01,motor,1.0,0.9239130434782609,14808,unassign
MSC02,motor,0.95,0.5797101449275363,14808,unassign
MSC03,motor,1.0,0.8572463768115942,14808,unassign
MSC04,motor,1.0,0.9543478260869566,14808,unassign
MSC05,motor,1.0,0.7913043478260869,14808,unassign
MSC06,motor,1.0,0.8305355715427658,14808,unassign
MSC07,motor,1.0,0.8752997601918465,14808,unassign
MSC10,motor,0.95,0.8536231884057971,14808,unassign
MSC01,mem,1.0,0.8913043478260869,14808,unassign
MSC02,mem,1.0,0.8804347826086957,14808,unassign
MSC03,mem,1.0,0.7491071428571429,14808,unassign
MSC04,mem,1.0,0.9094202898550725,14808,unassign
MSC05,mem,1.0,0.8876811594202899,14808,unassign
MSC06,mem,1.0,0.9311594202898551,14808,unassign
MSC07,mem,1.0,0.8579710144927536,14808,unassign
MSC10,mem,0.95,0.8826086956521739,14808,unassign
MSC01,semantic,0.95,0.745,14808,unassign
MSC02,semantic,0.95,0.5292857142857142,14808,unassign
MSC03,semantic,0.9,0.5092857142857142,14808,unassign
MSC04,semantic,0.95,0.7264285714285714,14808,unassign
