,test_task,train_task,Mean,Std
0,glass,mem,0.6579265873015873,0.13568612237629707
1,glass,motor,0.6253968253968256,0.12913137735750338
2,glass,semantic,0.5993154761904762,0.11637211451028134
3,mem,glass,0.6239980158730157,0.12449040545755335
4,mem,motor,0.6558928571428574,0.1325076572156464
5,mem,semantic,0.6388392857142856,0.12431262303866507
6,motor,glass,0.631388888888889,0.1123938581464575
7,motor,mem,0.6901785714285714,0.1382585334723396
8,motor,semantic,0.6172321428571428,0.12838478967844758
9,semantic,glass,0.6050496031746032,0.10575426680323564
10,semantic,mem,0.694017857142857,0.14136162409308184
11,semantic,motor,0.6327678571428571,0.13374303598813914
