train,task,same_sub,diff,feature,Network
MSC06,semantic,0.95,0.8128205128205128,dan,5264
MSC07,semantic,0.95,0.5975,dan,5264
MSC10,semantic,0.95,0.665,dan,5264
MSC01,glass,0.95,0.9075,dan,5264
MSC02,glass,0.9,0.71,dan,5264
MSC03,glass,0.9,0.765,dan,5264
MSC04,glass,0.95,0.9275,dan,5264
MSC05,glass,1.0,0.8875,dan,5264
MSC06,glass,0.8888888888888888,0.9083333333333333,dan,5264
MSC07,glass,0.95,0.8875,dan,5264
MSC10,glass,0.95,0.7775,dan,5264
MSC01,motor,1.0,0.685,dan,5264
MSC02,motor,0.95,0.39,dan,5264
MSC03,motor,1.0,0.6525,dan,5264
MSC04,motor,1.0,0.78,dan,5264
MSC05,motor,1.0,0.7575000000000001,dan,5264
MSC06,motor,1.0,0.841025641025641,dan,5264
MSC07,motor,0.95,0.5,dan,5264
MSC10,motor,0.95,0.595,dan,5264
MSC01,mem,1.0,0.975,dan,5264
MSC02,mem,1.0,0.8075,dan,5264
MSC03,mem,0.95,0.8375,dan,5264
MSC04,mem,1.0,0.96,dan,5264
MSC05,mem,1.0,0.885,dan,5264
MSC06,mem,1.0,0.9282051282051282,dan,5264
MSC07,mem,1.0,0.7625,dan,5264
MSC10,mem,0.9,0.7675000000000001,dan,5264
MSC01,semantic,0.95,0.6224999999999999,van,3151
MSC02,semantic,1.0,0.3725,van,3151
MSC03,semantic,0.85,0.675,van,3151
MSC04,semantic,0.9,0.7275,van,3151
MSC05,semantic,0.9,0.43,van,3151
MSC06,semantic,0.8,0.635897435897436,van,3151
MSC07,semantic,1.0,0.6075,van,3151
MSC10,semantic,0.9,0.6925,van,3151
MSC01,glass,0.9,0.7725,van,3151
MSC02,glass,0.95,0.8225,van,3151
MSC03,glass,0.8,0.7725,van,3151
MSC04,glass,0.9,0.85,van,3151
MSC05,glass,0.8,0.95,van,3151
MSC06,glass,0.7777777777777778,0.7583333333333333,van,3151
MSC07,glass,0.9,0.74,van,3151
MSC10,glass,0.9,0.7825,van,3151
MSC01,motor,0.9,0.6525,van,3151
MSC02,motor,1.0,0.4725,van,3151
MSC03,motor,1.0,0.7175,van,3151
MSC04,motor,0.95,0.5425,van,3151
MSC05,motor,1.0,0.4975,van,3151
MSC06,motor,0.9,0.6307692307692307,van,3151
MSC07,motor,0.9,0.31,van,3151
MSC10,motor,0.95,0.76,van,3151
MSC01,mem,1.0,0.9325,van,3151
MSC02,mem,0.95,0.895,van,3151
MSC03,mem,0.95,0.71,van,3151
MSC04,mem,0.9,0.745,van,3151
MSC05,mem,1.0,0.8875,van,3151
MSC06,mem,1.0,0.782051282051282,van,3151
MSC07,mem,0.95,0.83,van,3151
MSC10,mem,1.0,0.87,van,3151
MSC01,semantic,0.9,0.7025,salience,494
MSC02,semantic,0.8,0.5225,salience,494
MSC03,semantic,0.8,0.6275,salience,494
MSC04,semantic,0.9,0.7,salience,494
MSC05,semantic,1.0,0.48,salience,494
MSC06,semantic,0.85,0.3871794871794872,salience,494
MSC07,semantic,0.9,0.6525000000000001,salience,494
MSC10,semantic,0.8,0.6325,salience,494
MSC01,glass,0.8,0.76,salience,494
MSC02,glass,0.7,0.6975,salience,494
MSC03,glass,0.85,0.7225,salience,494
MSC04,glass,0.9,0.78,salience,494
MSC05,glass,0.9,0.815,salience,494
MSC06,glass,0.7222222222222222,0.7194444444444444,salience,494
MSC07,glass,0.95,0.7475,salience,494
MSC10,glass,0.9,0.5925,salience,494
MSC01,motor,0.9,0.815,salience,494
MSC02,motor,0.9,0.3925,salience,494
MSC03,motor,1.0,0.535,salience,494
MSC04,motor,0.85,0.6025,salience,494
MSC05,motor,0.95,0.6425,salience,494
MSC06,motor,0.95,0.4666666666666667,salience,494
MSC07,motor,0.95,0.42,salience,494
MSC10,motor,0.85,0.68,salience,494
MSC01,mem,0.9,0.8775,salience,494
MSC02,mem,0.9,0.64,salience,494
MSC03,mem,0.9,0.6925,salience,494
MSC04,mem,0.85,0.815,salience,494
MSC05,mem,1.0,0.8875,salience,494
MSC06,mem,0.95,0.7512820512820513,salience,494
MSC07,mem,0.95,0.8175,salience,494
MSC10,mem,0.9,0.7025,salience,494
MSC01,semantic,1.0,0.8225,co,4060
MSC02,semantic,0.85,0.5775,co,4060
MSC03,semantic,0.85,0.765,co,4060
MSC04,semantic,0.95,0.74,co,4060
MSC05,semantic,0.8,0.7525,co,4060
MSC06,semantic,0.95,0.8051282051282052,co,4060
MSC07,semantic,1.0,0.6975,co,4060
MSC10,semantic,0.95,0.745,co,4060
MSC01,glass,0.85,0.9075,co,4060
MSC02,glass,0.95,0.7575,co,4060
MSC03,glass,0.95,0.84,co,4060
MSC04,glass,0.85,0.7925,co,4060
MSC05,glass,0.9,0.9575,co,4060
MSC06,glass,0.8333333333333334,0.7777777777777778,co,4060
MSC07,glass,0.9,0.8300000000000001,co,4060
MSC10,glass,0.9,0.6875,co,4060
MSC01,motor,1.0,0.895,co,4060
MSC02,motor,1.0,0.4925,co,4060
MSC03,motor,1.0,0.685,co,4060
MSC04,motor,1.0,0.6225,co,4060
MSC05,motor,0.95,0.58,co,4060
MSC06,motor,1.0,0.617948717948718,co,4060
MSC07,motor,0.95,0.295,co,4060
