,acc,train,test,train_task,test_task
0,0.5,MSC05,MSC10,mem,mem
1,0.8,MSC05,MSC10,mem,mem
2,0.65,MSC05,MSC10,mem,mem
3,0.7,MSC05,MSC10,mem,mem
4,0.6,MSC05,MSC10,mem,mem
5,0.55,MSC05,MSC10,mem,mem
6,0.6,MSC05,MSC10,mem,mem
7,0.65,MSC05,MSC10,mem,mem
8,0.75,MSC05,MSC10,mem,mem
9,0.75,MSC05,MSC10,mem,mem
