task,acc
mixed,1.0
motor,0.5
mem,0.615
mixed,1.0
motor,1.0
mem,1.0
mixed,0.5
motor,1.0
mem,0.5
mixed,0.5
motor,0.5
mem,0.5
mixed,0.9100000000000001
motor,0.5
mem,1.0
mixed,0.5
motor,1.0
mem,0.5949999999999999
mixed,0.5
motor,1.0
mem,0.5
mixed,1.0
motor,1.0
mem,1.0
mixed,1.0
motor,1.0
mem,1.0
mixed,0.395
motor,1.0
mem,0.5
mixed,0.5
motor,1.0
mem,0.5
mixed,1.0
motor,0.5
mem,0.5999999999999999
mixed,0.5
motor,1.0
mem,1.0
mixed,0.5
motor,0.5
mem,0.5
mixed,1.0
motor,1.0
mem,0.5812499999999999
mixed,0.5
motor,1.0
mem,0.5
mixed,0.5
motor,1.0
mem,0.8687499999999999
mixed,0.5
motor,1.0
mem,0.5
mixed,0.5499999999999999
motor,0.5
mem,0.5
mixed,0.5
motor,1.0
mem,1.0
mixed,0.905
motor,0.5
mem,0.5
mixed,0.5
motor,1.0
mem,0.8949999999999999
mixed,0.5
motor,0.5
mem,0.615
mixed,0.505
motor,1.0
mem,1.0
mixed,0.5
motor,0.5
mem,0.5
mixed,0.4900000000000001
motor,0.5
mem,0.5
mixed,0.5
motor,1.0
mem,1.0
mixed,0.6
motor,1.0
mem,0.505
mixed,1.0
motor,1.0
mem,1.0
mixed,0.5
motor,1.0
mem,0.5
mixed,0.6900000000000002
motor,1.0
mem,0.775
mixed,0.5
motor,0.5
mem,0.5
mixed,1.0
motor,1.0
mem,1.0
mixed,0.5
motor,1.0
mem,0.5
mixed,0.5
motor,0.5
mem,0.5
mixed,1.0
motor,1.0
mem,1.0
mixed,1.0
motor,0.5
mem,0.5
mixed,1.0
motor,1.0
mem,1.0
mixed,0.5
motor,0.5
mem,0.5
mixed,0.5
motor,1.0
mem,0.9799999999999999
mixed,0.78
motor,0.5
mem,0.5
mixed,0.5
motor,0.5
mem,0.5
mixed,1.0
motor,1.0
mem,1.0
mixed,0.8600000000000001
motor,0.5
mem,1.0
mixed,1.0
motor,1.0
mem,1.0
mixed,0.5
motor,1.0
mem,0.5
mixed,1.0
motor,0.5
mem,0.5
mixed,1.0
motor,0.5
mem,0.5499999999999999
mixed,0.5
motor,1.0
mem,0.5
mixed,1.0
motor,1.0
mem,0.5
mixed,0.5
motor,0.5
mem,0.5
mixed,1.0
motor,1.0
mem,0.5125
mixed,0.5
motor,1.0
mem,0.5
mixed,0.5
motor,0.5
mem,0.5
mixed,0.5499999999999999
motor,0.5
mem,0.5
mixed,0.5
motor,1.0
mem,0.5
