,train_task,test_task,train_sub,test_sub,acc
117,mem,glass,MSC02,MSC04,0.925
118,mem,semantic,MSC02,MSC04,0.945
119,mem,motor,MSC02,MSC04,0.8700000000000001
120,glass,semantic,MSC02,MSC05,0.5449999999999999
121,glass,motor,MSC02,MSC05,0.505
122,glass,mem,MSC02,MSC05,0.5
123,semantic,glass,MSC02,MSC05,0.5
124,semantic,motor,MSC02,MSC05,0.5
125,semantic,mem,MSC02,MSC05,0.5
126,motor,glass,MSC02,MSC05,0.63
127,motor,semantic,MSC02,MSC05,0.5149999999999999
128,motor,mem,MSC02,MSC05,0.5
129,mem,glass,MSC02,MSC05,0.5949999999999999
130,mem,semantic,MSC02,MSC05,0.7999999999999999
131,mem,motor,MSC02,MSC05,0.74
132,glass,semantic,MSC02,MSC06,0.5499999999999999
133,glass,motor,MSC02,MSC06,0.5
134,glass,mem,MSC02,MSC06,0.5
135,semantic,glass,MSC02,MSC06,0.5388888888888889
136,semantic,motor,MSC02,MSC06,0.5
137,semantic,mem,MSC02,MSC06,0.5
138,motor,glass,MSC02,MSC06,0.5
139,motor,semantic,MSC02,MSC06,0.5499999999999999
140,motor,mem,MSC02,MSC06,0.5
141,mem,glass,MSC02,MSC06,0.7555555555555555
142,mem,semantic,MSC02,MSC06,0.77
143,mem,motor,MSC02,MSC06,0.6299999999999999
144,glass,semantic,MSC02,MSC07,0.5499999999999999
145,glass,motor,MSC02,MSC07,0.5549999999999999
146,glass,mem,MSC02,MSC07,0.5
147,semantic,glass,MSC02,MSC07,0.53
148,semantic,motor,MSC02,MSC07,0.5
149,semantic,mem,MSC02,MSC07,0.5449999999999999
150,motor,glass,MSC02,MSC07,0.5
151,motor,semantic,MSC02,MSC07,0.5
152,motor,mem,MSC02,MSC07,0.5
153,mem,glass,MSC02,MSC07,0.74
154,mem,semantic,MSC02,MSC07,0.7100000000000001
155,mem,motor,MSC02,MSC07,0.61
156,glass,semantic,MSC02,MSC10,0.57
157,glass,motor,MSC02,MSC10,0.5199999999999999
158,glass,mem,MSC02,MSC10,0.5
159,semantic,glass,MSC02,MSC10,0.5
160,semantic,motor,MSC02,MSC10,0.5549999999999999
161,semantic,mem,MSC02,MSC10,0.5
162,motor,glass,MSC02,MSC10,0.5
163,motor,semantic,MSC02,MSC10,0.5
164,motor,mem,MSC02,MSC10,0.5399999999999999
165,mem,glass,MSC02,MSC10,0.525
166,mem,semantic,MSC02,MSC10,0.6700000000000002
167,mem,motor,MSC02,MSC10,0.6199999999999999
168,glass,semantic,MSC03,MSC01,0.5
169,glass,motor,MSC03,MSC01,0.5
170,glass,mem,MSC03,MSC01,0.5
171,semantic,glass,MSC03,MSC01,0.5
172,semantic,motor,MSC03,MSC01,0.5
173,semantic,mem,MSC03,MSC01,0.5
174,motor,glass,MSC03,MSC01,0.5
175,motor,semantic,MSC03,MSC01,0.5
176,motor,mem,MSC03,MSC01,0.5
177,mem,glass,MSC03,MSC01,0.5
178,mem,semantic,MSC03,MSC01,0.5
179,mem,motor,MSC03,MSC01,0.5
180,glass,semantic,MSC03,MSC02,0.5
181,glass,motor,MSC03,MSC02,0.5
182,glass,mem,MSC03,MSC02,0.5
183,semantic,glass,MSC03,MSC02,0.5
184,semantic,motor,MSC03,MSC02,0.5
185,semantic,mem,MSC03,MSC02,0.5
186,motor,glass,MSC03,MSC02,0.525
187,motor,semantic,MSC03,MSC02,0.5
188,motor,mem,MSC03,MSC02,0.505
189,mem,glass,MSC03,MSC02,0.495
190,mem,semantic,MSC03,MSC02,0.5
191,mem,motor,MSC03,MSC02,0.5
192,glass,semantic,MSC03,MSC04,0.5
193,glass,motor,MSC03,MSC04,0.5
194,glass,mem,MSC03,MSC04,0.5
195,semantic,glass,MSC03,MSC04,0.5
196,semantic,motor,MSC03,MSC04,0.5
197,semantic,mem,MSC03,MSC04,0.5
198,motor,glass,MSC03,MSC04,0.5849999999999999
199,motor,semantic,MSC03,MSC04,0.53
200,motor,mem,MSC03,MSC04,0.5
201,mem,glass,MSC03,MSC04,0.52
202,mem,semantic,MSC03,MSC04,0.52
203,mem,motor,MSC03,MSC04,0.52
204,glass,semantic,MSC03,MSC05,0.5
205,glass,motor,MSC03,MSC05,0.5
206,glass,mem,MSC03,MSC05,0.5
207,semantic,glass,MSC03,MSC05,0.5149999999999999
208,semantic,motor,MSC03,MSC05,0.5
209,semantic,mem,MSC03,MSC05,0.5349999999999999
210,motor,glass,MSC03,MSC05,0.55
211,motor,semantic,MSC03,MSC05,0.51
212,motor,mem,MSC03,MSC05,0.51
213,mem,glass,MSC03,MSC05,0.5
214,mem,semantic,MSC03,MSC05,0.5
215,mem,motor,MSC03,MSC05,0.495
216,glass,semantic,MSC03,MSC06,0.505
217,glass,motor,MSC03,MSC06,0.5
218,glass,mem,MSC03,MSC06,0.5
219,semantic,glass,MSC03,MSC06,0.5
220,semantic,motor,MSC03,MSC06,0.5
221,semantic,mem,MSC03,MSC06,0.5
222,motor,glass,MSC03,MSC06,0.5222222222222223
223,motor,semantic,MSC03,MSC06,0.53
224,motor,mem,MSC03,MSC06,0.5
225,mem,glass,MSC03,MSC06,0.6722222222222223
226,mem,semantic,MSC03,MSC06,0.6599999999999999
227,mem,motor,MSC03,MSC06,0.6549999999999999
228,glass,semantic,MSC03,MSC07,0.5
229,glass,motor,MSC03,MSC07,0.5
230,glass,mem,MSC03,MSC07,0.5
231,semantic,glass,MSC03,MSC07,0.5
232,semantic,motor,MSC03,MSC07,0.5
233,semantic,mem,MSC03,MSC07,0.5
234,motor,glass,MSC03,MSC07,0.575
235,motor,semantic,MSC03,MSC07,0.53
236,motor,mem,MSC03,MSC07,0.5599999999999999
237,mem,glass,MSC03,MSC07,0.5
238,mem,semantic,MSC03,MSC07,0.5
239,mem,motor,MSC03,MSC07,0.5
240,glass,semantic,MSC03,MSC10,0.5
241,glass,motor,MSC03,MSC10,0.5
242,glass,mem,MSC03,MSC10,0.5
243,semantic,glass,MSC03,MSC10,0.5
244,semantic,motor,MSC03,MSC10,0.5
245,semantic,mem,MSC03,MSC10,0.5
246,motor,glass,MSC03,MSC10,0.5399999999999999
247,motor,semantic,MSC03,MSC10,0.5
248,motor,mem,MSC03,MSC10,0.505
249,mem,glass,MSC03,MSC10,0.5
250,mem,semantic,MSC03,MSC10,0.5
251,mem,motor,MSC03,MSC10,0.5
252,glass,semantic,MSC04,MSC01,0.5
253,glass,motor,MSC04,MSC01,0.5
254,glass,mem,MSC04,MSC01,0.5
255,semantic,glass,MSC04,MSC01,0.53
256,semantic,motor,MSC04,MSC01,0.51
257,semantic,mem,MSC04,MSC01,0.5
258,motor,glass,MSC04,MSC01,0.5449999999999999
259,motor,semantic,MSC04,MSC01,0.5
260,motor,mem,MSC04,MSC01,0.5499999999999999
261,mem,glass,MSC04,MSC01,0.72
262,mem,semantic,MSC04,MSC01,0.66
263,mem,motor,MSC04,MSC01,0.6950000000000001
264,glass,semantic,MSC04,MSC02,0.505
265,glass,motor,MSC04,MSC02,0.5449999999999999
266,glass,mem,MSC04,MSC02,0.5399999999999999
267,semantic,glass,MSC04,MSC02,0.5349999999999999
268,semantic,motor,MSC04,MSC02,0.5449999999999999
269,semantic,mem,MSC04,MSC02,0.5549999999999999
270,motor,glass,MSC04,MSC02,0.59
271,motor,semantic,MSC04,MSC02,0.5649999999999998
272,motor,mem,MSC04,MSC02,0.5549999999999999
273,mem,glass,MSC04,MSC02,0.62
