,Frames,Acc,Analysis
0,5,0.6166666666666667,CV
1,10,0.7000000000000001,CV
2,15,0.8333333333333334,CV
3,20,0.8666666666666666,CV
4,25,0.85,CV
5,30,0.8166666666666668,CV
6,40,0.9,CV
7,50,0.8833333333333333,CV
8,60,0.9,CV
9,70,0.9,CV
10,80,0.9166666666666666,CV
11,90,0.9166666666666666,CV
12,100,0.9499999999999998,CV
13,125,0.9666666666666667,CV
14,150,0.9666666666666667,CV
15,175,0.9666666666666667,CV
16,200,0.9833333333333334,CV
17,225,1.0,CV
18,250,1.0,CV
19,275,1.0,CV
20,300,1.0,CV
21,325,0.9814814814814815,CV
22,350,0.9050925925925926,CV
0,5,0.625,SS
1,10,0.47000000000000003,SS
2,15,0.6716666666666667,SS
3,20,0.7783333333333333,SS
4,25,0.6916666666666668,SS
5,30,0.6849999999999999,SS
6,40,0.6749999999999999,SS
7,50,0.7050000000000001,SS
8,60,0.7466666666666666,SS
9,70,0.8016666666666667,SS
10,80,0.7999999999999999,SS
11,90,0.8533333333333332,SS
12,100,0.875,SS
13,125,0.855,SS
14,150,0.83,SS
15,175,0.8233333333333333,SS
16,200,0.8466666666666666,SS
17,225,0.8566666666666666,SS
18,250,0.8585185185185186,SS
19,275,0.8738888888888888,SS
20,300,0.892962962962963,SS
21,325,0.8657407407407408,SS
22,350,0.7883333333333334,SS
0,5,0.5175,DS
1,10,0.6350000000000001,DS
2,15,0.5541666666666666,DS
3,20,0.5750000000000001,DS
4,25,0.59,DS
5,30,0.5766666666666667,DS
6,40,0.6350000000000001,DS
7,50,0.6883333333333334,DS
8,60,0.7266666666666666,DS
9,70,0.7425,DS
10,80,0.7016666666666667,DS
11,90,0.7308333333333333,DS
12,100,0.7633333333333333,DS
13,125,0.7416666666666667,DS
14,150,0.7941666666666668,DS
15,175,0.8275000000000001,DS
16,200,0.8166666666666665,DS
17,225,0.8066666666666666,DS
18,250,0.8176851851851853,DS
19,275,0.8157407407407408,DS
20,300,0.8406481481481481,DS
21,325,0.8402777777777777,DS
22,350,0.7791666666666667,DS
0,5,0.49666666666666665,BS
1,10,0.6116666666666667,BS
2,15,0.515,BS
3,20,0.595,BS
4,25,0.5416666666666666,BS
5,30,0.5516666666666666,BS
6,40,0.6033333333333334,BS
7,50,0.6033333333333334,BS
8,60,0.63,BS
9,70,0.6749999999999999,BS
10,80,0.6166666666666667,BS
11,90,0.6533333333333333,BS
12,100,0.6900000000000001,BS
13,125,0.6699999999999999,BS
14,150,0.6849999999999999,BS
15,175,0.7133333333333334,BS
16,200,0.7000000000000001,BS
17,225,0.6883333333333334,BS
18,250,0.7083333333333334,BS
19,275,0.6696296296296297,BS
20,300,0.7174074074074075,BS
21,325,0.736111111111111,BS
22,350,0.6716666666666667,BS
