,train,task,same_sub,diff_sub,Network_A,Network_B
0,MSC03,semantic,0.75,0.6164285714285714,default,default
0,MSC04,semantic,0.95,0.7307142857142858,default,default
0,MSC05,semantic,0.9,0.7078571428571429,default,default
0,MSC06,semantic,0.95,0.7892857142857143,default,default
0,MSC07,semantic,1.0,0.7042857142857143,default,default
0,MSC10,semantic,0.9,0.7664285714285715,default,default
0,MSC01,glass,0.9,0.6755395683453237,default,default
0,MSC02,glass,0.85,0.6920863309352517,default,default
0,MSC03,glass,0.8,0.6201438848920863,default,default
0,MSC04,glass,0.9,0.6726618705035972,default,default
0,MSC05,glass,0.95,0.7093525179856115,default,default
0,MSC06,glass,0.9444444444444444,0.7722222222222223,default,default
0,MSC07,glass,0.8,0.6100719424460431,default,default
0,MSC10,glass,0.85,0.6834532374100719,default,default
0,MSC01,motor,0.95,0.6804347826086956,default,default
0,MSC02,motor,0.95,0.631159420289855,default,default
0,MSC03,motor,0.85,0.5731884057971015,default,default
0,MSC04,motor,0.95,0.7369565217391304,default,default
0,MSC05,motor,0.95,0.6057971014492753,default,default
0,MSC06,motor,1.0,0.7114308553157473,default,default
0,MSC07,motor,0.8333333333333334,0.7577937649880095,default,default
0,MSC10,motor,0.9,0.7108695652173913,default,default
0,MSC01,mem,1.0,0.7789855072463768,default,default
0,MSC02,mem,1.0,0.7557971014492754,default,default
0,MSC03,mem,0.875,0.7392857142857143,default,default
0,MSC04,mem,0.9,0.8318840579710145,default,default
0,MSC05,mem,1.0,0.6202898550724638,default,default
0,MSC06,mem,0.95,0.713768115942029,default,default
0,MSC07,mem,0.95,0.7898550724637681,default,default
0,MSC10,mem,0.95,0.6594202898550724,default,default
0,MSC01,semantic,0.9,0.5835714285714286,visual,visual
0,MSC02,semantic,0.9,0.6185714285714285,visual,visual
0,MSC03,semantic,0.95,0.5128571428571428,visual,visual
0,MSC04,semantic,0.95,0.6,visual,visual
0,MSC05,semantic,0.85,0.6114285714285714,visual,visual
0,MSC06,semantic,0.7,0.6157142857142857,visual,visual
0,MSC07,semantic,0.95,0.6242857142857143,visual,visual
0,MSC10,semantic,0.85,0.6164285714285714,visual,visual
0,MSC01,glass,0.95,0.5899280575539568,visual,visual
0,MSC02,glass,1.0,0.6719424460431654,visual,visual
0,MSC03,glass,0.85,0.5776978417266186,visual,visual
0,MSC04,glass,0.9,0.6712230215827338,visual,visual
0,MSC05,glass,0.95,0.6143884892086331,visual,visual
0,MSC06,glass,0.7777777777777778,0.6777777777777778,visual,visual
0,MSC07,glass,0.9,0.5115107913669065,visual,visual
0,MSC10,glass,0.8,0.702158273381295,visual,visual
0,MSC01,motor,0.95,0.7210144927536232,visual,visual
0,MSC02,motor,1.0,0.8115942028985508,visual,visual
0,MSC03,motor,1.0,0.6811594202898551,visual,visual
0,MSC04,motor,1.0,0.6826086956521739,visual,visual
0,MSC05,motor,0.95,0.6623188405797101,visual,visual
0,MSC06,motor,1.0,0.7993605115907274,visual,visual
0,MSC07,motor,0.8888888888888888,0.595523581135092,visual,visual
0,MSC10,motor,0.95,0.717391304347826,visual,visual
0,MSC01,mem,1.0,0.6666666666666666,visual,visual
0,MSC02,mem,1.0,0.6949275362318841,visual,visual
0,MSC03,mem,1.0,0.6383928571428572,visual,visual
0,MSC04,mem,1.0,0.8065217391304348,visual,visual
0,MSC05,mem,1.0,0.7,visual,visual
0,MSC06,mem,1.0,0.7528985507246377,visual,visual
0,MSC07,mem,0.95,0.7195652173913043,visual,visual
