task,sub,acc
Mixed,MSC01,0.5
Mixed,MSC01,1.0
Mixed,MSC01,1.0
Mixed,MSC01,1.0
Mixed,MSC01,1.0
Mixed,MSC01,1.0
Mixed,MSC01,1.0
Mixed,MSC01,1.0
Mixed,MSC01,1.0
Mixed,MSC01,1.0
Mixed,MSC02,1.0
Mixed,MSC02,0.5
Mixed,MSC02,0.5
Mixed,MSC02,1.0
Mixed,MSC02,1.0
Mixed,MSC02,1.0
Mixed,MSC02,1.0
Mixed,MSC02,1.0
Mixed,MSC02,1.0
Mixed,MSC02,1.0
Mixed,MSC03,1.0
Mixed,MSC03,1.0
Mixed,MSC03,1.0
Mixed,MSC03,1.0
Mixed,MSC03,1.0
Mixed,MSC03,1.0
Mixed,MSC03,1.0
Mixed,MSC03,1.0
Mixed,MSC03,1.0
Mixed,MSC03,1.0
Mixed,MSC04,1.0
Mixed,MSC04,1.0
Mixed,MSC04,1.0
Mixed,MSC04,1.0
Mixed,MSC04,1.0
Mixed,MSC04,1.0
Mixed,MSC04,1.0
Mixed,MSC04,1.0
Mixed,MSC04,1.0
Mixed,MSC04,1.0
Mixed,MSC05,1.0
Mixed,MSC05,1.0
Mixed,MSC05,1.0
Mixed,MSC05,1.0
Mixed,MSC05,1.0
Mixed,MSC05,1.0
Mixed,MSC05,1.0
Mixed,MSC05,1.0
Mixed,MSC05,1.0
Mixed,MSC05,1.0
Mixed,MSC06,1.0
Mixed,MSC06,1.0
Mixed,MSC06,1.0
Mixed,MSC06,1.0
Mixed,MSC06,1.0
Mixed,MSC06,1.0
Mixed,MSC06,1.0
Mixed,MSC06,1.0
Mixed,MSC06,1.0
Mixed,MSC06,1.0
Mixed,MSC07,1.0
Mixed,MSC07,1.0
Mixed,MSC07,1.0
Mixed,MSC07,1.0
Mixed,MSC07,1.0
Mixed,MSC07,1.0
Mixed,MSC07,1.0
Mixed,MSC07,1.0
Mixed,MSC07,1.0
Mixed,MSC07,1.0
Mixed,MSC10,1.0
Mixed,MSC10,1.0
Mixed,MSC10,0.5
Mixed,MSC10,1.0
Mixed,MSC10,1.0
Mixed,MSC10,1.0
Mixed,MSC10,1.0
Mixed,MSC10,1.0
Mixed,MSC10,1.0
Mixed,MSC10,1.0
Motor,MSC01,1.0
Motor,MSC01,1.0
Motor,MSC01,1.0
Motor,MSC01,1.0
Motor,MSC01,1.0
Motor,MSC01,1.0
Motor,MSC01,1.0
Motor,MSC01,1.0
Motor,MSC01,1.0
Motor,MSC01,1.0
Motor,MSC02,1.0
Motor,MSC02,1.0
Motor,MSC02,1.0
Motor,MSC02,0.5
Motor,MSC02,1.0
Motor,MSC02,1.0
Motor,MSC02,1.0
Motor,MSC02,1.0
Motor,MSC02,1.0
Motor,MSC02,1.0
Motor,MSC03,1.0
Motor,MSC03,1.0
Motor,MSC03,1.0
Motor,MSC03,1.0
Motor,MSC03,1.0
Motor,MSC03,1.0
Motor,MSC03,1.0
Motor,MSC03,1.0
Motor,MSC03,1.0
Motor,MSC03,0.5
Motor,MSC04,1.0
Motor,MSC04,1.0
Motor,MSC04,1.0
Motor,MSC04,1.0
Motor,MSC04,1.0
Motor,MSC04,1.0
Motor,MSC04,1.0
Motor,MSC04,1.0
Motor,MSC04,1.0
Motor,MSC04,1.0
Motor,MSC05,1.0
Motor,MSC05,1.0
Motor,MSC05,1.0
Motor,MSC05,1.0
Motor,MSC05,1.0
Motor,MSC05,1.0
Motor,MSC05,1.0
Motor,MSC05,1.0
Motor,MSC05,1.0
Motor,MSC05,1.0
Motor,MSC06,1.0
Motor,MSC06,1.0
Motor,MSC06,1.0
Motor,MSC06,1.0
Motor,MSC06,1.0
