,test_task,train_task,Mean,Std
0,mem,mixed,0.9099999999999999,0.10246950765959595
1,mem,motor,0.67,0.1680773631397161
2,mixed,mem,0.82,0.11510864433221339
3,mixed,motor,0.61,0.12449899597988734
4,motor,mem,0.85,0.15
5,motor,mixed,0.8699999999999999,0.13038404810405296
