train_task,test_task,train_sub,test_sub,acc
motor,mixed,MSC03,MSC10,0.565
motor,mem,MSC03,MSC10,0.78
mem,mixed,MSC03,MSC10,0.705
mem,motor,MSC03,MSC10,0.7249999999999999
mixed,motor,MSC04,MSC01,0.8400000000000002
mixed,mem,MSC04,MSC01,0.7300000000000001
motor,mixed,MSC04,MSC01,0.51
motor,mem,MSC04,MSC01,0.5599999999999999
mem,mixed,MSC04,MSC01,0.6050000000000001
mem,motor,MSC04,MSC01,0.8850000000000001
mixed,motor,MSC04,MSC02,0.7999999999999998
mixed,mem,MSC04,MSC02,0.8400000000000001
motor,mixed,MSC04,MSC02,0.715
motor,mem,MSC04,MSC02,0.7649999999999999
mem,mixed,MSC04,MSC02,0.7150000000000001
mem,motor,MSC04,MSC02,0.665
mixed,motor,MSC04,MSC03,0.6
mixed,mem,MSC04,MSC03,0.5599999999999999
motor,mixed,MSC04,MSC03,0.5599999999999999
motor,mem,MSC04,MSC03,0.5849999999999999
mem,mixed,MSC04,MSC03,0.7000000000000001
mem,motor,MSC04,MSC03,0.655
mixed,motor,MSC04,MSC05,0.9
mixed,mem,MSC04,MSC05,0.93
motor,mixed,MSC04,MSC05,0.5449999999999999
motor,mem,MSC04,MSC05,0.5
mem,mixed,MSC04,MSC05,0.67
mem,motor,MSC04,MSC05,0.7299999999999999
mixed,motor,MSC04,MSC06,0.625
mixed,mem,MSC04,MSC06,0.645
motor,mixed,MSC04,MSC06,0.86
motor,mem,MSC04,MSC06,0.795
mem,mixed,MSC04,MSC06,0.89
mem,motor,MSC04,MSC06,0.9200000000000002
mixed,motor,MSC04,MSC07,0.6
mixed,mem,MSC04,MSC07,0.68
motor,mixed,MSC04,MSC07,0.575
motor,mem,MSC04,MSC07,0.5999999999999999
mem,mixed,MSC04,MSC07,0.58
mem,motor,MSC04,MSC07,0.74
mixed,motor,MSC04,MSC10,0.6500000000000001
mixed,mem,MSC04,MSC10,0.6450000000000001
motor,mixed,MSC04,MSC10,0.5349999999999999
motor,mem,MSC04,MSC10,0.65
mem,mixed,MSC04,MSC10,0.7849999999999999
mem,motor,MSC04,MSC10,0.7899999999999999
mixed,motor,MSC05,MSC01,0.7899999999999999
mixed,mem,MSC05,MSC01,0.7449999999999999
motor,mixed,MSC05,MSC01,0.5
motor,mem,MSC05,MSC01,0.515
mem,mixed,MSC05,MSC01,0.62
mem,motor,MSC05,MSC01,0.6650000000000001
mixed,motor,MSC05,MSC02,0.7849999999999999
mixed,mem,MSC05,MSC02,0.7849999999999999
motor,mixed,MSC05,MSC02,0.5999999999999999
motor,mem,MSC05,MSC02,0.59
mem,mixed,MSC05,MSC02,0.6249999999999999
mem,motor,MSC05,MSC02,0.635
mixed,motor,MSC05,MSC03,0.8949999999999999
mixed,mem,MSC05,MSC03,0.7999999999999999
motor,mixed,MSC05,MSC03,0.5549999999999999
motor,mem,MSC05,MSC03,0.5
mem,mixed,MSC05,MSC03,0.9949999999999999
mem,motor,MSC05,MSC03,0.9949999999999999
mixed,motor,MSC05,MSC04,0.78
mixed,mem,MSC05,MSC04,0.62
motor,mixed,MSC05,MSC04,0.5
motor,mem,MSC05,MSC04,0.5
mem,mixed,MSC05,MSC04,0.755
mem,motor,MSC05,MSC04,0.835
mixed,motor,MSC05,MSC06,0.7899999999999999
mixed,mem,MSC05,MSC06,0.8299999999999998
motor,mixed,MSC05,MSC06,0.5899999999999999
motor,mem,MSC05,MSC06,0.5599999999999998
mem,mixed,MSC05,MSC06,0.52
mem,motor,MSC05,MSC06,0.76
mixed,motor,MSC05,MSC07,0.765
mixed,mem,MSC05,MSC07,0.6449999999999999
motor,mixed,MSC05,MSC07,0.57
motor,mem,MSC05,MSC07,0.575
mem,mixed,MSC05,MSC07,0.6900000000000001
mem,motor,MSC05,MSC07,0.845
mixed,motor,MSC05,MSC10,0.7849999999999999
mixed,mem,MSC05,MSC10,0.79
motor,mixed,MSC05,MSC10,0.47000000000000003
motor,mem,MSC05,MSC10,0.49000000000000005
mem,mixed,MSC05,MSC10,0.6199999999999999
mem,motor,MSC05,MSC10,0.715
mixed,motor,MSC06,MSC01,0.62
mixed,mem,MSC06,MSC01,0.5149999999999999
motor,mixed,MSC06,MSC01,0.7749999999999999
motor,mem,MSC06,MSC01,0.7749999999999999
mem,mixed,MSC06,MSC01,0.8099999999999999
mem,motor,MSC06,MSC01,0.765
mixed,motor,MSC06,MSC02,0.5449999999999999
mixed,mem,MSC06,MSC02,0.6399999999999999
motor,mixed,MSC06,MSC02,0.465
motor,mem,MSC06,MSC02,0.5599999999999998
mem,mixed,MSC06,MSC02,0.8099999999999999
mem,motor,MSC06,MSC02,0.6050000000000001
mixed,motor,MSC06,MSC03,0.5
mixed,mem,MSC06,MSC03,0.5149999999999999
motor,mixed,MSC06,MSC03,0.695
motor,mem,MSC06,MSC03,0.7150000000000001
mem,mixed,MSC06,MSC03,0.715
mem,motor,MSC06,MSC03,0.76
mixed,motor,MSC06,MSC04,0.655
mixed,mem,MSC06,MSC04,0.605
motor,mixed,MSC06,MSC04,0.7050000000000001
motor,mem,MSC06,MSC04,0.7499999999999999
