,test_task,train_task,Mean,Std
0,glass,mem,0.7131746031746031,0.12576886833052758
1,glass,motor,0.643075396825397,0.10849955982086354
2,glass,semantic,0.5805059523809524,0.10130435949338468
3,mem,glass,0.6394444444444444,0.1518598503272479
4,mem,motor,0.6502678571428573,0.12698396334991258
5,mem,semantic,0.5955357142857142,0.12749573458615132
6,motor,glass,0.661954365079365,0.14726564982019155
7,motor,mem,0.7345535714285715,0.13316864490942676
8,motor,semantic,0.5773214285714287,0.10792238071753356
9,semantic,glass,0.6311607142857143,0.11904531749819454
10,semantic,mem,0.7383928571428573,0.11675190145563581
11,semantic,motor,0.6332142857142857,0.1221788129655152
