sub,semantic,glass,motor,mem
MSC01,0.9,0.8,0.9,0.85
MSC02,0.85,0.7,0.9,0.9
MSC03,0.8,0.85,0.95,1.0
MSC04,0.9,0.9,0.8,0.9
MSC05,1.0,0.85,0.95,1.0
MSC06,0.8,0.7222222222222222,0.85,0.9
MSC07,0.9,0.95,0.85,0.95
MSC10,0.75,0.65,0.8,0.75
