sub,train_task,test_task,acc,frames
MSC05,mem,mixed,0.8400000000000001,56
MSC06,mem,mixed,0.64,56
MSC07,mem,mixed,0.7099999999999999,56
MSC02,mem,mixed,0.55,56
MSC05,mem,mixed,0.8400000000000001,56
MSC06,mem,mixed,0.64,56
MSC07,mem,mixed,0.7099999999999999,56
MSC02,mem,mixed,0.55,56
MSC05,mem,mixed,0.8400000000000001,56
MSC06,mem,mixed,0.64,56
MSC07,mem,mixed,0.7099999999999999,56
MSC02,mem,mixed,0.55,56
MSC05,mem,mixed,0.8400000000000001,56
MSC06,mem,mixed,0.64,56
MSC07,mem,mixed,0.7099999999999999,56
MSC02,mem,mixed,0.55,56
MSC05,mem,mixed,0.8400000000000001,56
MSC06,mem,mixed,0.64,56
MSC07,mem,mixed,0.7099999999999999,56
MSC02,mem,mixed,0.55,56
MSC05,mem,mixed,0.8400000000000001,56
MSC06,mem,mixed,0.64,56
MSC07,mem,mixed,0.7099999999999999,56
MSC02,mem,mixed,0.55,56
MSC05,mem,mixed,0.8400000000000001,56
MSC06,mem,mixed,0.64,56
MSC07,mem,mixed,0.7099999999999999,56
MSC02,mem,mixed,0.55,56
MSC05,mem,mixed,0.8400000000000001,56
MSC06,mem,mixed,0.64,56
MSC07,mem,mixed,0.7099999999999999,56
MSC02,mem,mixed,0.55,56
MSC05,mem,mixed,0.8400000000000001,56
MSC06,mem,mixed,0.64,56
MSC07,mem,mixed,0.7099999999999999,56
MSC02,mem,mixed,0.535,57
MSC05,mem,mixed,0.8150000000000001,57
MSC06,mem,mixed,0.63,57
MSC07,mem,mixed,0.695,57
MSC02,mem,mixed,0.535,57
MSC05,mem,mixed,0.8150000000000001,57
MSC06,mem,mixed,0.63,57
MSC07,mem,mixed,0.695,57
MSC02,mem,mixed,0.535,57
MSC05,mem,mixed,0.8150000000000001,57
MSC06,mem,mixed,0.63,57
MSC07,mem,mixed,0.695,57
MSC02,mem,mixed,0.535,57
MSC05,mem,mixed,0.8150000000000001,57
MSC06,mem,mixed,0.63,57
MSC07,mem,mixed,0.695,57
MSC02,mem,mixed,0.535,57
MSC05,mem,mixed,0.8150000000000001,57
MSC06,mem,mixed,0.63,57
MSC07,mem,mixed,0.695,57
MSC02,mem,mixed,0.535,57
MSC05,mem,mixed,0.8150000000000001,57
MSC06,mem,mixed,0.63,57
MSC07,mem,mixed,0.695,57
MSC02,mem,mixed,0.535,57
MSC05,mem,mixed,0.8150000000000001,57
MSC06,mem,mixed,0.63,57
MSC07,mem,mixed,0.695,57
MSC02,mem,mixed,0.535,57
MSC05,mem,mixed,0.8150000000000001,57
MSC06,mem,mixed,0.63,57
MSC07,mem,mixed,0.695,57
MSC02,mem,mixed,0.535,57
MSC05,mem,mixed,0.8150000000000001,57
MSC06,mem,mixed,0.63,57
MSC07,mem,mixed,0.695,57
MSC02,mem,mixed,0.53,58
MSC05,mem,mixed,0.8099999999999999,58
MSC06,mem,mixed,0.575,58
MSC07,mem,mixed,0.695,58
MSC02,mem,mixed,0.53,58
MSC05,mem,mixed,0.8099999999999999,58
MSC06,mem,mixed,0.575,58
MSC07,mem,mixed,0.695,58
MSC02,mem,mixed,0.53,58
MSC05,mem,mixed,0.8099999999999999,58
MSC06,mem,mixed,0.575,58
MSC07,mem,mixed,0.695,58
