train_task,test_task,sub,diff
glass,semantic,MSC07,0.7777777777777778
glass,motor,MSC07,0.5555555555555556
glass,mem,MSC07,0.4444444444444444
semantic,glass,MSC07,0.3333333333333333
semantic,motor,MSC07,0.7777777777777778
semantic,mem,MSC07,0.6666666666666666
motor,glass,MSC07,0.4444444444444444
motor,semantic,MSC07,0.1111111111111111
motor,mem,MSC07,0.2222222222222222
mem,glass,MSC07,0.5555555555555556
mem,semantic,MSC07,0.6666666666666666
mem,motor,MSC07,0.2222222222222222
glass,semantic,MSC10,0.7
glass,motor,MSC10,0.1
glass,mem,MSC10,0.8
semantic,glass,MSC10,0.7
semantic,motor,MSC10,0.4
semantic,mem,MSC10,0.4
motor,glass,MSC10,0.7
motor,semantic,MSC10,0.3
motor,mem,MSC10,0.4
mem,glass,MSC10,0.8
mem,semantic,MSC10,0.9
mem,motor,MSC10,0.2
glass,semantic,MSC01,1.0
glass,motor,MSC01,0.7
glass,mem,MSC01,0.7
semantic,glass,MSC01,0.9
semantic,motor,MSC01,0.7
semantic,mem,MSC01,0.3
motor,glass,MSC01,0.6
motor,semantic,MSC01,1.0
motor,mem,MSC01,0.7
mem,glass,MSC01,0.5
mem,semantic,MSC01,0.3
mem,motor,MSC01,0.3
glass,semantic,MSC02,0.5
glass,motor,MSC02,0.5
glass,mem,MSC02,0.2
semantic,glass,MSC02,0.5
semantic,motor,MSC02,0.9
semantic,mem,MSC02,0.5
motor,glass,MSC02,0.8
motor,semantic,MSC02,0.3
motor,mem,MSC02,0.9
mem,glass,MSC02,0.2
mem,semantic,MSC02,0.3
mem,motor,MSC02,0.8
glass,semantic,MSC03,0.375
glass,motor,MSC03,0.0
glass,mem,MSC03,0.25
semantic,glass,MSC03,0.75
semantic,motor,MSC03,0.625
semantic,mem,MSC03,0.625
motor,glass,MSC03,0.375
motor,semantic,MSC03,0.5
motor,mem,MSC03,0.5
mem,glass,MSC03,0.5
mem,semantic,MSC03,0.375
mem,motor,MSC03,0.0
glass,semantic,MSC04,0.9
glass,motor,MSC04,0.8
glass,mem,MSC04,0.1
semantic,glass,MSC04,0.2
semantic,motor,MSC04,0.5
semantic,mem,MSC04,0.8
motor,glass,MSC04,0.9
motor,semantic,MSC04,0.8
motor,mem,MSC04,0.6
mem,glass,MSC04,0.5
mem,semantic,MSC04,0.7
mem,motor,MSC04,0.7
glass,semantic,MSC05,0.4
