train_task,test_task,sub,diff
glass,semantic,MSC01,-0.2
glass,motor,MSC01,-0.4
glass,mem,MSC01,0.2
semantic,glass,MSC01,-0.39999999999999997
semantic,motor,MSC01,0.2
semantic,mem,MSC01,-0.49999999999999994
motor,glass,MSC01,0.09999999999999998
motor,semantic,MSC01,-0.20000000000000007
motor,mem,MSC01,0.0
mem,glass,MSC01,-0.2
mem,semantic,MSC01,-0.5
mem,motor,MSC01,0.3
glass,semantic,MSC02,-0.20000000000000007
glass,motor,MSC02,-0.19999999999999996
glass,mem,MSC02,-0.4
semantic,glass,MSC02,-0.09999999999999998
semantic,motor,MSC02,0.19999999999999996
semantic,mem,MSC02,-0.2
motor,glass,MSC02,0.19999999999999996
motor,semantic,MSC02,-0.30000000000000004
motor,mem,MSC02,0.09999999999999998
mem,glass,MSC02,-0.09999999999999998
mem,semantic,MSC02,-0.20000000000000007
mem,motor,MSC02,-0.20000000000000007
glass,semantic,MSC03,0.0
glass,motor,MSC03,0.375
glass,mem,MSC03,0.375
semantic,glass,MSC03,0.0
semantic,motor,MSC03,0.25
semantic,mem,MSC03,0.375
motor,glass,MSC03,0.5
motor,semantic,MSC03,0.25
motor,mem,MSC03,0.0
mem,glass,MSC03,0.0
mem,semantic,MSC03,-0.125
mem,motor,MSC03,0.0
glass,semantic,MSC04,0.0
glass,motor,MSC04,0.0
glass,mem,MSC04,-0.10000000000000003
semantic,glass,MSC04,-0.09999999999999998
semantic,motor,MSC04,0.0
semantic,mem,MSC04,0.39999999999999997
motor,glass,MSC04,-0.20000000000000007
motor,semantic,MSC04,0.09999999999999998
motor,mem,MSC04,0.10000000000000003
mem,glass,MSC04,0.0
mem,semantic,MSC04,0.0
mem,motor,MSC04,0.20000000000000007
glass,semantic,MSC05,-0.19999999999999996
glass,motor,MSC05,0.0
glass,mem,MSC05,0.10000000000000003
semantic,glass,MSC05,-0.4
semantic,motor,MSC05,-0.19999999999999996
semantic,mem,MSC05,-0.10000000000000003
motor,glass,MSC05,-0.5
motor,semantic,MSC05,-0.19999999999999996
motor,mem,MSC05,0.29999999999999993
mem,glass,MSC05,0.2
