,test_task,train_task,Mean,Std
0,glass,mem,0.853125,0.14757413391241708
1,glass,motor,0.7115972222222222,0.0980310741056111
2,glass,semantic,0.7754861111111111,0.11394924358958446
3,mem,glass,0.7979166666666667,0.12952829561558882
4,mem,motor,0.685,0.16309506430300094
5,mem,semantic,0.729375,0.1294062677881452
6,motor,glass,0.8458333333333333,0.08918057301438806
7,motor,mem,0.84375,0.11444743022765638
8,motor,semantic,0.6412500000000001,0.11306603633022863
9,semantic,glass,0.8718055555555556,0.12821070551564073
10,semantic,mem,0.890625,0.10434960127242598
11,semantic,motor,0.668125,0.13984525887055105
