sub,mixed,motor,mem
MSC01,0.95,0.9,0.9
MSC02,0.75,1.0,0.9
MSC03,0.95,0.95,0.85
MSC04,0.85,1.0,1.0
MSC05,1.0,1.0,1.0
MSC06,0.95,0.95,0.95
MSC07,0.95,0.9,0.75
MSC10,0.9,0.95,1.0
