,motor,train,test
0,0.9,MSC01,MSC10
1,1.0,MSC01,MSC10
2,0.95,MSC01,MSC10
3,1.0,MSC01,MSC10
4,1.0,MSC01,MSC10
5,1.0,MSC01,MSC10
6,1.0,MSC01,MSC10
7,1.0,MSC01,MSC10
8,1.0,MSC01,MSC10
9,1.0,MSC01,MSC10
