,motor,train,test
0,1.0,MSC06,MSC05
1,1.0,MSC06,MSC05
2,1.0,MSC06,MSC05
3,1.0,MSC06,MSC05
4,1.0,MSC06,MSC05
5,1.0,MSC06,MSC05
6,1.0,MSC06,MSC05
7,0.9,MSC06,MSC05
8,1.0,MSC06,MSC05
9,1.0,MSC06,MSC05
