,motor,train,test
0,1.0,MSC04,MSC05
1,0.9,MSC04,MSC05
2,0.95,MSC04,MSC05
3,1.0,MSC04,MSC05
4,0.9,MSC04,MSC05
5,0.95,MSC04,MSC05
6,0.95,MSC04,MSC05
7,0.95,MSC04,MSC05
8,1.0,MSC04,MSC05
9,1.0,MSC04,MSC05
