,mixed,train,test
0,0.55,MSC01,MSC06
1,0.75,MSC01,MSC06
2,0.7,MSC01,MSC06
3,0.75,MSC01,MSC06
4,0.75,MSC01,MSC06
5,0.7,MSC01,MSC06
6,0.75,MSC01,MSC06
7,0.7,MSC01,MSC06
8,0.85,MSC01,MSC06
9,0.7,MSC01,MSC06
