,mem,train,test
0,1.0,MSC02,MSC06
1,0.95,MSC02,MSC06
2,1.0,MSC02,MSC06
3,0.95,MSC02,MSC06
4,0.95,MSC02,MSC06
5,1.0,MSC02,MSC06
6,0.95,MSC02,MSC06
7,0.95,MSC02,MSC06
8,0.95,MSC02,MSC06
9,0.95,MSC02,MSC06
