,mixed,train,test
0,0.75,MSC10,MSC07
1,0.6,MSC10,MSC07
2,0.6,MSC10,MSC07
3,0.65,MSC10,MSC07
4,0.65,MSC10,MSC07
5,0.65,MSC10,MSC07
6,0.65,MSC10,MSC07
7,0.7,MSC10,MSC07
8,0.6,MSC10,MSC07
9,0.7,MSC10,MSC07
