,motor,train,test
0,0.5,MSC02,MSC05
1,0.65,MSC02,MSC05
2,0.6,MSC02,MSC05
3,0.55,MSC02,MSC05
4,0.6,MSC02,MSC05
5,0.5,MSC02,MSC05
6,0.55,MSC02,MSC05
7,0.6,MSC02,MSC05
8,0.65,MSC02,MSC05
9,0.55,MSC02,MSC05
