sub,mixed,motor,mem
MSC01,0.95,1.0,1.0
MSC02,0.8,1.0,1.0
MSC03,0.95,1.0,1.0
MSC04,1.0,1.0,1.0
MSC05,0.95,0.95,1.0
MSC06,0.9,1.0,1.0
MSC07,0.95,0.9,1.0
MSC10,0.9,1.0,0.9
