sub,semantic,glass,motor,mem
MSC01,0.8,0.85,0.9,0.9
MSC02,0.85,0.65,0.95,0.95
MSC03,0.85,0.65,0.95,0.9
MSC04,0.85,0.85,0.95,1.0
MSC05,0.95,0.8,1.0,1.0
MSC06,0.8,0.6111111111111112,0.9,0.95
MSC07,0.9,0.75,0.8,0.95
MSC10,0.65,0.75,0.85,0.85
