train_task,test_task,sub,acc
mixed,motor,MSC01,0.9949999999999999
mixed,mem,MSC01,0.9349999999999999
motor,mixed,MSC01,0.76
motor,mem,MSC01,0.6500000000000001
mem,mixed,MSC01,0.95
mem,motor,MSC01,0.99
mixed,motor,MSC02,0.735
mixed,mem,MSC02,0.7249999999999999
motor,mixed,MSC02,0.5
motor,mem,MSC02,0.5
mem,mixed,MSC02,0.7200000000000001
mem,motor,MSC02,0.655
mixed,motor,MSC03,0.9949999999999999
mixed,mem,MSC03,0.8499999999999999
motor,mixed,MSC03,0.5549999999999999
motor,mem,MSC03,0.5999999999999999
mem,mixed,MSC03,0.6450000000000001
mem,motor,MSC03,0.93
mixed,motor,MSC04,0.945
mixed,mem,MSC04,0.9800000000000001
motor,mixed,MSC04,0.5599999999999998
motor,mem,MSC04,0.575
mem,mixed,MSC04,0.8949999999999999
mem,motor,MSC04,0.8949999999999999
mixed,motor,MSC05,0.9549999999999998
mixed,mem,MSC05,1.0
motor,mixed,MSC05,0.5549999999999999
motor,mem,MSC05,0.53
mem,mixed,MSC05,0.905
mem,motor,MSC05,1.0
mixed,motor,MSC06,0.905
mixed,mem,MSC06,1.0
motor,mixed,MSC06,0.575
motor,mem,MSC06,0.675
mem,mixed,MSC06,0.78
mem,motor,MSC06,0.845
mixed,motor,MSC07,0.7350000000000001
mixed,mem,MSC07,0.8850000000000001
motor,mixed,MSC07,0.53
motor,mem,MSC07,0.5
mem,mixed,MSC07,0.845
mem,motor,MSC07,0.7849999999999999
mixed,motor,MSC10,0.8349999999999997
mixed,mem,MSC10,0.9200000000000002
motor,mixed,MSC10,0.525
motor,mem,MSC10,0.5599999999999999
mem,mixed,MSC10,0.8500000000000002
mem,motor,MSC10,0.8400000000000001
