train_task,test_task,sub,acc
mixed,motor,MSC01,0.915
mixed,mem,MSC01,0.885
motor,mixed,MSC01,0.505
motor,mem,MSC01,0.53
mem,mixed,MSC01,0.86
mem,motor,MSC01,0.8550000000000001
mixed,motor,MSC02,0.64
mixed,mem,MSC02,0.8249999999999998
motor,mixed,MSC02,0.505
motor,mem,MSC02,0.5
mem,mixed,MSC02,0.845
mem,motor,MSC02,0.6200000000000001
mixed,motor,MSC03,0.875
mixed,mem,MSC03,0.8450000000000001
motor,mixed,MSC03,0.5449999999999999
motor,mem,MSC03,0.5199999999999999
mem,mixed,MSC03,0.6150000000000001
mem,motor,MSC03,0.5850000000000002
mixed,motor,MSC04,0.7949999999999999
mixed,mem,MSC04,0.9250000000000002
motor,mixed,MSC04,0.61
motor,mem,MSC04,0.7150000000000001
mem,mixed,MSC04,0.7999999999999999
mem,motor,MSC04,0.7899999999999999
mixed,motor,MSC05,0.95
mixed,mem,MSC05,1.0
motor,mixed,MSC05,0.5499999999999999
motor,mem,MSC05,0.6049999999999999
mem,mixed,MSC05,0.7250000000000001
mem,motor,MSC05,0.9800000000000001
mixed,motor,MSC06,0.7999999999999999
mixed,mem,MSC06,0.985
motor,mixed,MSC06,0.595
motor,mem,MSC06,0.5999999999999999
mem,mixed,MSC06,0.655
mem,motor,MSC06,0.5149999999999999
mixed,motor,MSC07,0.6099999999999999
mixed,mem,MSC07,0.9199999999999999
motor,mixed,MSC07,0.5
motor,mem,MSC07,0.505
mem,mixed,MSC07,0.845
mem,motor,MSC07,0.565
mixed,motor,MSC10,0.6649999999999999
mixed,mem,MSC10,0.915
motor,mixed,MSC10,0.5549999999999999
motor,mem,MSC10,0.62
mem,mixed,MSC10,0.8850000000000001
mem,motor,MSC10,0.7949999999999999
