train_task,test_task,sub,acc,spec,sen
glass,semantic,MSC01,0.93,0.96,0.9000000000000001
glass,motor,MSC01,0.905,1.0,0.8099999999999999
glass,mem,MSC01,0.8499999999999999,1.0,0.7000000000000001
semantic,glass,MSC01,0.8950000000000001,1.0,0.7899999999999999
semantic,motor,MSC01,0.8150000000000001,1.0,0.6299999999999999
semantic,mem,MSC01,0.7000000000000001,1.0,0.39999999999999997
motor,glass,MSC01,0.8499999999999999,0.9000000000000001,0.7999999999999999
motor,semantic,MSC01,0.905,1.0,0.8099999999999999
motor,mem,MSC01,0.6550000000000001,1.0,0.30999999999999994
mem,glass,MSC01,0.915,1.0,0.8300000000000001
mem,semantic,MSC01,0.99,1.0,0.9800000000000001
mem,motor,MSC01,0.9949999999999999,1.0,0.99
glass,semantic,MSC02,0.905,0.99,0.82
glass,motor,MSC02,0.6650000000000001,1.0,0.32999999999999996
glass,mem,MSC02,0.82,0.99,0.65
semantic,glass,MSC02,0.6900000000000001,1.0,0.38
semantic,motor,MSC02,0.505,1.0,0.01
semantic,mem,MSC02,0.5599999999999999,1.0,0.12
motor,glass,MSC02,0.5149999999999999,1.0,0.030000000000000006
motor,semantic,MSC02,0.5399999999999999,1.0,0.07999999999999999
motor,mem,MSC02,0.5,1.0,0.0
mem,glass,MSC02,0.86,0.99,0.7300000000000001
mem,semantic,MSC02,0.9000000000000001,1.0,0.7999999999999999
mem,motor,MSC02,0.7849999999999999,1.0,0.57
glass,semantic,MSC03,0.845,1.0,0.6900000000000001
glass,motor,MSC03,0.9949999999999999,1.0,0.99
glass,mem,MSC03,0.76,1.0,0.52
semantic,glass,MSC03,0.76,1.0,0.52
semantic,motor,MSC03,0.9,1.0,0.8
semantic,mem,MSC03,0.7000000000000001,1.0,0.39999999999999997
motor,glass,MSC03,0.76,1.0,0.52
motor,semantic,MSC03,0.655,1.0,0.31
motor,mem,MSC03,0.625,1.0,0.25
mem,glass,MSC03,0.59,1.0,0.18
mem,semantic,MSC03,0.7899999999999999,1.0,0.5799999999999998
mem,motor,MSC03,0.95,1.0,0.9000000000000001
glass,semantic,MSC04,0.9800000000000001,1.0,0.9600000000000002
glass,motor,MSC04,0.945,0.99,0.9000000000000001
glass,mem,MSC04,0.9099999999999999,1.0,0.82
semantic,glass,MSC04,0.875,1.0,0.7499999999999999
semantic,motor,MSC04,0.53,1.0,0.06
semantic,mem,MSC04,0.825,1.0,0.65
motor,glass,MSC04,0.9549999999999998,1.0,0.9099999999999999
motor,semantic,MSC04,0.59,1.0,0.18000000000000002
motor,mem,MSC04,0.765,1.0,0.53
mem,glass,MSC04,1.0,1.0,1.0
