train_task,test_task,sub,Same Task,Different Task,Same Rest,Different Rest
glass,motor,MSC05,0.9,0.9,1.0,0.9
glass,mem,MSC05,0.9,1.0,1.0,1.0
motor,semantic,MSC05,1.0,0.3,1.0,1.0
motor,glass,MSC05,1.0,0.7,1.0,1.0
motor,mem,MSC05,1.0,1.0,1.0,1.0
mem,semantic,MSC05,1.0,1.0,0.9,0.9
mem,glass,MSC05,1.0,1.0,0.9,1.0
mem,motor,MSC05,1.0,1.0,0.9,1.0
semantic,glass,MSC06,1.0,0.5555555555555556,1.0,1.0
semantic,motor,MSC06,1.0,0.7777777777777778,1.0,1.0
semantic,mem,MSC06,1.0,1.0,1.0,1.0
glass,semantic,MSC06,0.8888888888888888,0.7777777777777778,0.8888888888888888,0.7777777777777778
glass,motor,MSC06,0.8888888888888888,0.7777777777777778,0.8888888888888888,0.8888888888888888
glass,mem,MSC06,0.8888888888888888,1.0,0.8888888888888888,0.8888888888888888
motor,semantic,MSC06,1.0,0.4444444444444444,1.0,1.0
motor,glass,MSC06,1.0,0.3333333333333333,1.0,1.0
motor,mem,MSC06,1.0,0.7777777777777778,1.0,1.0
mem,semantic,MSC06,1.0,1.0,0.8888888888888888,0.8888888888888888
mem,glass,MSC06,1.0,0.7777777777777778,0.8888888888888888,0.8888888888888888
mem,motor,MSC06,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888
semantic,glass,MSC07,1.0,0.8888888888888888,1.0,1.0
semantic,motor,MSC07,1.0,0.1111111111111111,1.0,1.0
semantic,mem,MSC07,1.0,0.3333333333333333,1.0,1.0
glass,semantic,MSC07,0.8888888888888888,1.0,0.8888888888888888,1.0
glass,motor,MSC07,0.8888888888888888,0.3333333333333333,0.8888888888888888,1.0
glass,mem,MSC07,0.8888888888888888,0.7777777777777778,0.8888888888888888,1.0
motor,semantic,MSC07,1.0,0.2222222222222222,1.0,1.0
motor,glass,MSC07,1.0,0.0,1.0,1.0
motor,mem,MSC07,1.0,0.1111111111111111,1.0,1.0
mem,semantic,MSC07,1.0,1.0,1.0,0.5555555555555556
mem,glass,MSC07,1.0,1.0,1.0,0.7777777777777778
mem,motor,MSC07,1.0,1.0,1.0,0.6666666666666666
semantic,glass,MSC10,1.0,1.0,1.0,1.0
semantic,motor,MSC10,1.0,0.4,1.0,1.0
semantic,mem,MSC10,1.0,0.9,1.0,0.8
glass,semantic,MSC10,0.9,0.8,0.9,0.8
glass,motor,MSC10,0.9,0.9,0.9,1.0
glass,mem,MSC10,0.9,0.8,0.9,0.9
motor,semantic,MSC10,1.0,0.5,1.0,0.9
motor,glass,MSC10,1.0,0.8,1.0,0.9
motor,mem,MSC10,1.0,0.8,1.0,1.0
mem,semantic,MSC10,1.0,0.9,1.0,0.7
mem,glass,MSC10,1.0,0.9,1.0,0.9
mem,motor,MSC10,1.0,1.0,1.0,0.9
