train_task,test_task,sub,acc
mixed,motor,MSC01,0.89
mixed,mem,MSC01,0.795
motor,mixed,MSC01,0.8850000000000001
motor,mem,MSC01,0.8099999999999999
mem,mixed,MSC01,0.8550000000000001
mem,motor,MSC01,0.845
mixed,motor,MSC02,0.6150000000000001
mixed,mem,MSC02,0.7799999999999999
motor,mixed,MSC02,0.595
motor,mem,MSC02,0.45999999999999996
mem,mixed,MSC02,0.71
mem,motor,MSC02,0.6600000000000001
mixed,motor,MSC03,0.9
mixed,mem,MSC03,0.74375
motor,mixed,MSC03,0.67
motor,mem,MSC03,0.4875
mem,mixed,MSC03,0.625
mem,motor,MSC03,0.5875
mixed,motor,MSC04,0.54
mixed,mem,MSC04,0.59
motor,mixed,MSC04,0.6649999999999999
motor,mem,MSC04,0.79
mem,mixed,MSC04,0.675
mem,motor,MSC04,0.63
mixed,motor,MSC05,0.64
mixed,mem,MSC05,0.6849999999999998
motor,mixed,MSC05,0.6900000000000001
motor,mem,MSC05,0.675
mem,mixed,MSC05,0.7599999999999999
mem,motor,MSC05,0.6700000000000002
mixed,motor,MSC06,0.7444444444444445
mixed,mem,MSC06,0.8049999999999999
motor,mixed,MSC06,0.6222222222222222
motor,mem,MSC06,0.7499999999999999
mem,mixed,MSC06,0.72
mem,motor,MSC06,0.7333333333333334
mixed,motor,MSC07,0.6388888888888888
mixed,mem,MSC07,0.5549999999999999
motor,mixed,MSC07,0.7888888888888889
motor,mem,MSC07,0.5722222222222223
mem,mixed,MSC07,0.5450000000000002
mem,motor,MSC07,0.6
mixed,motor,MSC10,0.7500000000000001
mixed,mem,MSC10,0.6399999999999999
motor,mixed,MSC10,0.675
motor,mem,MSC10,0.6100000000000001
mem,mixed,MSC10,0.5650000000000001
mem,motor,MSC10,0.58
