train_task,test_task,sub,acc
mixed,motor,MSC01,0.7950000000000002
mixed,mem,MSC01,0.655
motor,mixed,MSC01,0.8
motor,mem,MSC01,0.785
mem,mixed,MSC01,0.615
mem,motor,MSC01,0.675
mixed,motor,MSC02,0.565
mixed,mem,MSC02,0.40499999999999997
motor,mixed,MSC02,0.615
motor,mem,MSC02,0.53
mem,mixed,MSC02,0.45499999999999996
mem,motor,MSC02,0.55
mixed,motor,MSC03,0.6399999999999999
mixed,mem,MSC03,0.43125
motor,mixed,MSC03,0.5449999999999999
motor,mem,MSC03,0.525
mem,mixed,MSC03,0.39375000000000004
mem,motor,MSC03,0.51875
mixed,motor,MSC04,0.655
mixed,mem,MSC04,0.45
motor,mixed,MSC04,0.6849999999999998
motor,mem,MSC04,0.5299999999999999
mem,mixed,MSC04,0.5250000000000001
mem,motor,MSC04,0.655
mixed,motor,MSC05,0.615
mixed,mem,MSC05,0.7550000000000001
motor,mixed,MSC05,0.5800000000000001
motor,mem,MSC05,0.46499999999999997
mem,mixed,MSC05,0.6950000000000002
mem,motor,MSC05,0.505
mixed,motor,MSC06,0.5499999999999999
mixed,mem,MSC06,0.485
motor,mixed,MSC06,0.7444444444444444
motor,mem,MSC06,0.6555555555555554
mem,mixed,MSC06,0.6299999999999999
mem,motor,MSC06,0.6055555555555555
mixed,motor,MSC07,0.45
mixed,mem,MSC07,0.555
motor,mixed,MSC07,0.5333333333333333
motor,mem,MSC07,0.6833333333333333
mem,mixed,MSC07,0.535
mem,motor,MSC07,0.5333333333333334
mixed,motor,MSC10,0.615
mixed,mem,MSC10,0.675
motor,mixed,MSC10,0.5499999999999999
motor,mem,MSC10,0.58
mem,mixed,MSC10,0.65
mem,motor,MSC10,0.7099999999999999
