,train_task,test_task,sub,acc,Features
0,mixed,motor,MSC01,0.6900000000000001,10
1,mixed,mem,MSC01,0.7449999999999999,10
2,motor,mixed,MSC01,0.6649999999999999,10
3,motor,mem,MSC01,0.575,10
4,mem,mixed,MSC01,0.7,10
5,mem,motor,MSC01,0.5,10
6,mixed,motor,MSC02,0.44,10
7,mixed,mem,MSC02,0.4199999999999999,10
8,motor,mixed,MSC02,0.4499999999999999,10
9,motor,mem,MSC02,0.645,10
10,mem,mixed,MSC02,0.29000000000000004,10
11,mem,motor,MSC02,0.43,10
12,mixed,motor,MSC03,0.41,10
13,mixed,mem,MSC03,0.48125,10
14,motor,mixed,MSC03,0.52,10
15,motor,mem,MSC03,0.41875,10
16,mem,mixed,MSC03,0.5625,10
17,mem,motor,MSC03,0.60625,10
18,mixed,motor,MSC04,0.7750000000000001,10
19,mixed,mem,MSC04,0.8250000000000002,10
20,motor,mixed,MSC04,0.7599999999999999,10
21,motor,mem,MSC04,0.7549999999999999,10
22,mem,mixed,MSC04,0.7599999999999999,10
23,mem,motor,MSC04,0.8150000000000001,10
24,mixed,motor,MSC05,0.34500000000000003,10
25,mixed,mem,MSC05,0.4,10
26,motor,mixed,MSC05,0.355,10
27,motor,mem,MSC05,0.5,10
28,mem,mixed,MSC05,0.41,10
29,mem,motor,MSC05,0.495,10
30,mixed,motor,MSC06,0.5833333333333333,10
31,mixed,mem,MSC06,0.4,10
32,motor,mixed,MSC06,0.5555555555555555,10
33,motor,mem,MSC06,0.36666666666666653,10
34,mem,mixed,MSC06,0.465,10
35,mem,motor,MSC06,0.5,10
36,mixed,motor,MSC07,0.4833333333333333,10
37,mixed,mem,MSC07,0.355,10
38,motor,mixed,MSC07,0.55,10
39,motor,mem,MSC07,0.4722222222222222,10
40,mem,mixed,MSC07,0.6,10
41,mem,motor,MSC07,0.5611111111111111,10
42,mixed,motor,MSC10,0.455,10
43,mixed,mem,MSC10,0.5549999999999999,10
44,motor,mixed,MSC10,0.5449999999999999,10
45,motor,mem,MSC10,0.62,10
46,mem,mixed,MSC10,0.55,10
47,mem,motor,MSC10,0.55,10
0,mixed,motor,MSC01,0.7950000000000002,20
1,mixed,mem,MSC01,0.655,20
