train_task,test_task,sub,acc
mixed,motor,MSC01,0.99
mixed,mem,MSC01,0.9349999999999999
motor,mixed,MSC01,0.7949999999999999
motor,mem,MSC01,0.6500000000000001
mem,mixed,MSC01,0.9299999999999999
mem,motor,MSC01,1.0
mixed,motor,MSC02,0.74
mixed,mem,MSC02,0.825
motor,mixed,MSC02,0.5
motor,mem,MSC02,0.5
mem,mixed,MSC02,0.745
mem,motor,MSC02,0.66
mixed,motor,MSC03,1.0
mixed,mem,MSC03,0.86875
motor,mixed,MSC03,0.5399999999999998
motor,mem,MSC03,0.59375
mem,mixed,MSC03,0.64375
mem,motor,MSC03,0.8687500000000001
mixed,motor,MSC04,0.95
mixed,mem,MSC04,0.9800000000000001
motor,mixed,MSC04,0.6100000000000001
motor,mem,MSC04,0.715
mem,mixed,MSC04,0.9099999999999999
mem,motor,MSC04,0.9400000000000001
mixed,motor,MSC05,1.0
mixed,mem,MSC05,1.0
motor,mixed,MSC05,0.575
motor,mem,MSC05,0.8149999999999998
mem,mixed,MSC05,0.8499999999999999
mem,motor,MSC05,1.0
mixed,motor,MSC06,0.9611111111111112
mixed,mem,MSC06,1.0
motor,mixed,MSC06,0.5499999999999999
motor,mem,MSC06,0.5888888888888889
mem,mixed,MSC06,0.745
mem,motor,MSC06,0.8888888888888891
mixed,motor,MSC07,0.8444444444444444
mixed,mem,MSC07,0.9050000000000002
motor,mixed,MSC07,0.5055555555555555
motor,mem,MSC07,0.5
mem,mixed,MSC07,0.865
mem,motor,MSC07,0.7888888888888889
mixed,motor,MSC10,0.9099999999999999
mixed,mem,MSC10,0.99
motor,mixed,MSC10,0.515
motor,mem,MSC10,0.63
mem,mixed,MSC10,0.8399999999999999
mem,motor,MSC10,0.925
