task,acc
mixed,1.0
motor,0.9899999999999999
mem,0.5
mixed,1.0
motor,1.0
mem,1.0
mixed,0.5449999999999999
motor,1.0
mem,0.5
mixed,0.5
motor,0.5499999999999999
mem,0.89
mixed,0.9949999999999999
motor,0.5
mem,1.0
mixed,0.5499999999999999
motor,1.0
mem,0.5
mixed,0.5
motor,0.8499999999999999
mem,0.5
mixed,1.0
motor,1.0
mem,1.0
mixed,1.0
motor,1.0
mem,1.0
mixed,0.5
motor,0.5
mem,0.5
mixed,0.5
motor,1.0
mem,1.0
mixed,1.0
motor,0.9722222222222223
mem,1.0
mixed,0.74
motor,1.0
mem,1.0
mixed,0.5
motor,0.5
mem,0.5
mixed,1.0
motor,1.0
mem,1.0
mixed,1.0
motor,1.0
mem,0.9500000000000001
mixed,0.8399999999999999
motor,0.7000000000000001
mem,0.50625
mixed,0.5
motor,1.0
mem,0.5
mixed,0.9000000000000001
motor,0.5555555555555555
mem,0.5499999999999999
mixed,0.5
motor,1.0
mem,1.0
mixed,0.5
motor,0.5
mem,0.5
mixed,1.0
motor,1.0
mem,1.0
mixed,0.5
motor,0.9400000000000001
mem,0.9000000000000001
mixed,0.9550000000000001
motor,1.0
mem,1.0
mixed,0.6849999999999998
motor,0.635
mem,0.6650000000000001
mixed,0.9949999999999999
motor,0.5
mem,0.8099999999999998
mixed,0.5
motor,1.0
mem,0.9299999999999999
mixed,0.5
motor,0.8499999999999999
mem,0.57
mixed,0.6450000000000001
motor,1.0
mem,0.6049999999999999
mixed,0.5
motor,0.5
mem,0.5
mixed,0.5
motor,1.0
mem,0.5
mixed,0.5
motor,0.5
mem,0.5
mixed,1.0
motor,1.0
mem,1.0
mixed,0.5
motor,0.5
mem,0.5
mixed,0.5
motor,0.5
mem,0.5
mixed,1.0
motor,1.0
mem,0.95
mixed,0.5
motor,0.5
mem,0.5
mixed,1.0
motor,0.9055555555555556
mem,0.70625
mixed,0.5
motor,0.5
mem,0.5
mixed,0.8299999999999998
motor,1.0
mem,1.0
mixed,0.5
motor,0.5
mem,0.5
mixed,0.5
motor,0.5
mem,0.5
mixed,1.0
motor,1.0
mem,1.0
mixed,0.575
motor,1.0
mem,0.75
mixed,0.9399999999999998
motor,1.0
mem,1.0
mixed,0.5
motor,0.7000000000000001
mem,0.5
mixed,1.0
motor,0.9888888888888889
mem,0.845
mixed,1.0
motor,0.5
mem,1.0
mixed,0.5
motor,0.6
mem,0.5
mixed,1.0
motor,1.0
mem,0.835
mixed,0.595
motor,0.79
mem,0.54
mixed,1.0
motor,1.0
mem,1.0
mixed,0.5850000000000001
motor,1.0
mem,1.0
mixed,0.5
motor,0.5449999999999999
mem,0.5
mixed,0.715
motor,0.5
mem,0.5
mixed,0.5
motor,1.0
mem,0.725
