Test_variables,MSC01,MSC02,MSC03,MSC04,MSC05,MSC06,MSC07,MSC08,MSC09,MSC10
MSC01,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
MSC02,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
MSC03,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
MSC04,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
MSC05,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
MSC06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
MSC07,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
MSC08,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
MSC09,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
MSC10,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
