train_sub,test_sub,cv_acc,cv_sen,cv_spec,acc,ds_sen,ds_spec
MSC01,MSC02,0.9875,1.0,0.975,0.5375000000000001,1.0,0.07500000000000001
MSC01,MSC03,0.9875,1.0,0.975,0.5325,0.9925,0.07250000000000002
MSC01,MSC04,0.9875,1.0,0.975,0.6849999999999999,0.9974999999999999,0.3725
MSC01,MSC05,0.9875,1.0,0.975,0.65125,1.0,0.3025
MSC01,MSC06,0.9875,1.0,0.975,0.8058333333333334,0.9925,0.6191666666666668
MSC01,MSC07,0.9875,1.0,0.975,0.51375,1.0,0.027499999999999997
MSC01,MSC10,0.9875,1.0,0.975,0.54,0.9974999999999999,0.08250000000000003
MSC02,MSC01,0.975,1.0,0.95,0.9087500000000001,0.8625,0.9549999999999998
MSC02,MSC03,0.975,1.0,0.95,0.8066666666666666,0.9875,0.6258333333333332
MSC02,MSC04,0.975,1.0,0.95,0.9175000000000001,0.9749999999999999,0.86
MSC02,MSC05,0.975,1.0,0.95,0.94375,0.9774999999999998,0.9099999999999999
MSC02,MSC06,0.975,1.0,0.95,0.9137500000000001,0.9516666666666665,0.8758333333333332
MSC02,MSC07,0.975,1.0,0.95,0.7345833333333334,0.9974999999999999,0.4716666666666667
MSC02,MSC10,0.975,1.0,0.95,0.7825,0.7874999999999999,0.7775
MSC03,MSC01,0.96875,1.0,0.9375,0.8328125,0.7374999999999999,0.928125
MSC03,MSC02,0.96875,1.0,0.9375,0.703125,0.9875,0.41874999999999996
MSC03,MSC04,0.96875,1.0,0.9375,0.8156250000000002,0.859375,0.7718750000000002
MSC03,MSC05,0.96875,1.0,0.9375,0.8468749999999999,1.0,0.69375
MSC03,MSC06,0.96875,1.0,0.9375,0.8035156250000001,0.75546875,0.8515624999999999
MSC03,MSC07,0.96875,1.0,0.9375,0.7796875000000001,0.7125,0.8468749999999999
MSC03,MSC10,0.96875,1.0,0.9375,0.8484375,0.8062499999999999,0.890625
MSC04,MSC01,0.9875,1.0,0.975,0.60875,1.0,0.21749999999999997
MSC04,MSC02,0.9875,1.0,0.975,0.5425,0.9925,0.0925
MSC04,MSC03,0.9875,1.0,0.975,0.6054166666666667,1.0,0.21083333333333334
MSC04,MSC05,0.9875,1.0,0.975,0.9087500000000001,0.9974999999999999,0.82
MSC04,MSC06,0.9875,1.0,0.975,0.7866666666666667,1.0,0.5733333333333334
MSC04,MSC07,0.9875,1.0,0.975,0.6287499999999999,1.0,0.25749999999999995
MSC04,MSC10,0.9875,1.0,0.975,0.6537500000000002,1.0,0.30749999999999994
MSC05,MSC01,0.9875,1.0,0.975,0.6824999999999999,0.9699999999999998,0.395
MSC05,MSC02,0.9875,1.0,0.975,0.5787500000000001,0.9924999999999999,0.16499999999999998
MSC05,MSC03,0.9875,1.0,0.975,0.7475,0.9974999999999999,0.4974999999999999
MSC05,MSC04,0.9875,1.0,0.975,0.8474999999999999,0.95,0.745
MSC05,MSC06,0.9875,1.0,0.975,0.81375,0.9633333333333333,0.6641666666666668
MSC05,MSC07,0.9875,1.0,0.975,0.6799999999999999,0.9700000000000001,0.39
MSC05,MSC10,0.9875,1.0,0.975,0.7362499999999998,0.9475000000000001,0.5250000000000001
MSC06,MSC01,0.9722222222222222,1.0,0.9444444444444444,0.8098765432098767,0.9925925925925926,0.6271604938271604
MSC06,MSC02,0.9722222222222222,1.0,0.9444444444444444,0.8799382716049382,0.9111111111111112,0.8487654320987655
MSC06,MSC03,0.9722222222222222,1.0,0.9444444444444444,0.75,0.9907407407407409,0.5092592592592592
MSC06,MSC04,0.9722222222222222,1.0,0.9444444444444444,0.9021604938271606,1.0,0.804320987654321
MSC06,MSC05,0.9722222222222222,1.0,0.9444444444444444,0.953395061728395,0.9598765432098766,0.9469135802469135
MSC06,MSC07,0.9722222222222222,1.0,0.9444444444444444,0.5833333333333334,1.0,0.16666666666666666
MSC06,MSC10,0.9722222222222222,1.0,0.9444444444444444,0.6453703703703704,1.0,0.2907407407407407
MSC07,MSC01,0.9861111111111112,1.0,0.9722222222222222,0.7895061728395061,1.0,0.5790123456790124
MSC07,MSC02,0.9861111111111112,1.0,0.9722222222222222,0.8120370370370371,0.9604938271604939,0.6635802469135802
MSC07,MSC03,0.9861111111111112,1.0,0.9722222222222222,0.6623456790123456,0.8395061728395061,0.4851851851851852
MSC07,MSC04,0.9861111111111112,1.0,0.9722222222222222,0.8762345679012346,0.9098765432098767,0.8425925925925924
MSC07,MSC05,0.9861111111111112,1.0,0.9722222222222222,0.904320987654321,0.8919753086419754,0.9166666666666666
MSC07,MSC06,0.9861111111111112,1.0,0.9722222222222222,0.8138888888888889,0.6876543209876543,0.9401234567901233
MSC07,MSC10,0.9861111111111112,1.0,0.9722222222222222,0.7762345679012346,0.867283950617284,0.6851851851851853
MSC10,MSC01,0.9625,0.975,0.95,0.5512499999999999,1.0,0.1025
MSC10,MSC02,0.9625,0.975,0.95,0.58875,0.9724999999999999,0.20500000000000002
MSC10,MSC03,0.9625,0.975,0.95,0.5979166666666667,1.0,0.1958333333333333
MSC10,MSC04,0.9625,0.975,0.95,0.7000000000000001,0.9925,0.4074999999999999
MSC10,MSC05,0.9625,0.975,0.95,0.6725000000000001,1.0,0.345
MSC10,MSC06,0.9625,0.975,0.95,0.7833333333333333,0.9949999999999999,0.5716666666666665
MSC10,MSC07,0.9625,0.975,0.95,0.7008333333333334,0.9299999999999999,0.4716666666666667
