train_task,test_task,diff
motor,mem,-0.025000000000000005
motor,mixed,-0.005624999999999992
mem,mixed,-0.014642857142857136
mem,motor,-0.025267857142857137
mixed,mem,0.01714285714285716
mixed,motor,-0.00491071428571427
motor,mem,-0.009107142857142852
motor,mixed,-0.019910714285714264
mem,mixed,-0.022678571428571437
mem,motor,-0.004910714285714296
mixed,mem,-0.037053571428571415
mixed,motor,-0.019642857142857125
motor,mem,0.013124999999999996
motor,mixed,-0.01750000000000001
mem,mixed,-0.023839285714285712
mem,motor,-0.024107142857142855
mixed,mem,-0.007321428571428563
mixed,motor,0.03392857142857143
motor,mem,-8.928571428572627e-05
motor,mixed,-0.005357142857142867
mem,mixed,0.02910714285714287
mem,motor,0.04767857142857145
mixed,mem,0.009732142857142844
mixed,motor,-0.004732142857142842
motor,mem,-0.03241071428571428
motor,mixed,-0.02294642857142856
mem,mixed,-0.013571428571428566
mem,motor,-0.008839285714285711
mixed,mem,0.02642857142857143
mixed,motor,0.008035714285714275
motor,mem,-0.013928571428571429
motor,mixed,-0.02071428571428571
mem,mixed,0.00428571428571429
mem,motor,-0.0037499999999999916
mixed,mem,-0.0033035714285714313
mixed,motor,0.0025892857142857098
motor,mem,0.013214285714285722
motor,mixed,0.02080357142857144
mem,mixed,0.00294642857142857
mem,motor,0.0008928571428571426
mixed,mem,-0.00857142857142856
mixed,motor,0.0003571428571428515
motor,mem,0.011339285714285706
motor,mixed,0.035982142857142865
mem,mixed,0.00017857142857141187
mem,motor,-0.004375000000000008
mixed,mem,-0.0004464285714285857
mixed,motor,0.009732142857142858
motor,mem,-0.008035714285714288
motor,mixed,0.014196428571428563
mem,mixed,-0.0317857142857143
mem,motor,-0.029910714285714284
mixed,mem,0.0349107142857143
mixed,motor,0.01928571428571429
motor,mem,-0.027589285714285705
motor,mixed,-0.013124999999999989
mem,mixed,0.036607142857142845
mem,motor,0.03973214285714286
mixed,mem,-0.0023214285714285685
mixed,motor,-0.0008035714285714253
motor,mem,-0.04767857142857145
motor,mixed,-0.01508928571428571
mem,mixed,0.010357142857142851
mem,motor,0.026249999999999992
mixed,mem,0.005535714285714297
mixed,motor,-0.013749999999999995
motor,mem,-0.0008928571428571298
motor,mixed,-0.019285714285714278
mem,mixed,-0.009107142857142857
mem,motor,0.008660714285714282
mixed,mem,-0.025267857142857144
mixed,motor,0.00544642857142857
motor,mem,0.008303571428571414
motor,mixed,0.0002678571428571401
mem,mixed,-0.021428571428571425
mem,motor,-0.003750000000000021
mixed,mem,-0.014821428571428557
mixed,motor,0.004999999999999996
motor,mem,-0.028035714285714292
motor,mixed,-0.0004464285714285629
mem,mixed,0.0010714285714285604
mem,motor,0.006249999999999986
mixed,mem,0.0006250000000000085
mixed,motor,-0.007053571428571427
motor,mem,0.004642857142857145
motor,mixed,-0.003482142857142871
mem,mixed,0.0010714285714285804
mem,motor,-0.03250000000000001
mixed,mem,0.011517857142857158
mixed,motor,0.015535714285714292
motor,mem,0.022499999999999982
motor,mixed,0.02955357142857142
mem,mixed,-0.0009821428571428561
mem,motor,-0.017321428571428574
mixed,mem,0.014375000000000018
mixed,motor,0.034285714285714294
motor,mem,-0.0008035714285714124
motor,mixed,0.01142857142857143
mem,mixed,0.031160714285714288
mem,motor,0.004375000000000008
mixed,mem,-0.026696428571428565
mixed,motor,0.0028571428571428567
motor,mem,0.013660714285714288
motor,mixed,0.0018749999999999997
mem,mixed,-0.01741071428571427
mem,motor,-0.01991071428571428
mixed,mem,-0.00196428571428573
mixed,motor,-0.005178571428571422
motor,mem,-0.011160714285714274
motor,mixed,-0.020535714285714272
mem,mixed,-0.009107142857142852
mem,motor,-0.03517857142857141
mixed,mem,-0.025982142857142836
mixed,motor,-0.004196428571428561
motor,mem,-0.013839285714285719
motor,mixed,-0.016874999999999998
mem,mixed,-0.013124999999999989
mem,motor,-0.03723214285714284
mixed,mem,-0.022589285714285718
mixed,motor,-0.04258928571428572
motor,mem,0.010357142857142867
motor,mixed,0.02446428571428571
mem,mixed,-0.015982142857142865
mem,motor,-0.006160714285714276
mixed,mem,-0.010714285714285716
mixed,motor,-0.028571428571428564
motor,mem,0.021160714285714286
motor,mixed,0.013660714285714292
mem,mixed,-0.003928571428571423
mem,motor,0.012142857142857146
mixed,mem,0.02571428571428572
mixed,motor,0.0014285714285714238
motor,mem,-0.010000000000000005
motor,mixed,-0.013928571428571438
mem,mixed,-0.014910714285714258
mem,motor,-0.004285714285714263
mixed,mem,0.02071428571428572
mixed,motor,0.00857142857142858
motor,mem,-0.00892857142857142
